Session,Date,Male,Female
ParlaMint-TR-en_2011-06-28-tbmm-T24-meta.tsv,2011-06-28,7,0
ParlaMint-TR-en_2011-07-04-tbmm-T24-meta.tsv,2011-07-04,6,0
ParlaMint-TR-en_2011-07-05-tbmm-T24-meta.tsv,2011-07-05,9,0
ParlaMint-TR-en_2011-07-06-tbmm-T24-meta.tsv,2011-07-06,4,0
ParlaMint-TR-en_2011-07-07-tbmm-T24-meta.tsv,2011-07-07,1,0
ParlaMint-TR-en_2011-07-08-tbmm-T24-meta.tsv,2011-07-08,2,0
ParlaMint-TR-en_2011-07-11-tbmm-T24-meta.tsv,2011-07-11,37,1
ParlaMint-TR-en_2011-07-12-tbmm-T24-meta.tsv,2011-07-12,1,0
ParlaMint-TR-en_2011-07-13-tbmm-T24-meta.tsv,2011-07-13,4,0
ParlaMint-TR-en_2011-07-14-tbmm-T24-meta.tsv,2011-07-14,6,1
ParlaMint-TR-en_2011-07-15-tbmm-T24-meta.tsv,2011-07-15,38,2
ParlaMint-TR-en_2011-10-01-tbmm-T24-meta.tsv,2011-10-01,3,0
ParlaMint-TR-en_2011-10-04-tbmm-T24-meta.tsv,2011-10-04,20,1
ParlaMint-TR-en_2011-10-05-tbmm-T24-meta.tsv,2011-10-05,40,3
ParlaMint-TR-en_2011-10-06-tbmm-T24-meta.tsv,2011-10-06,32,1
ParlaMint-TR-en_2011-10-11-tbmm-T24-meta.tsv,2011-10-11,26,1
ParlaMint-TR-en_2011-10-12-tbmm-T24-meta.tsv,2011-10-12,50,2
ParlaMint-TR-en_2011-10-13-tbmm-T24-meta.tsv,2011-10-13,47,5
ParlaMint-TR-en_2011-10-18-tbmm-T24-meta.tsv,2011-10-18,58,8
ParlaMint-TR-en_2011-10-19-tbmm-T24-meta.tsv,2011-10-19,18,3
ParlaMint-TR-en_2011-10-20-tbmm-T24-meta.tsv,2011-10-20,8,1
ParlaMint-TR-en_2011-10-25-tbmm-T24-meta.tsv,2011-10-25,48,5
ParlaMint-TR-en_2011-10-26-tbmm-T24-meta.tsv,2011-10-26,26,2
ParlaMint-TR-en_2011-10-27-tbmm-T24-meta.tsv,2011-10-27,50,1
ParlaMint-TR-en_2011-11-01-tbmm-T24-meta.tsv,2011-11-01,54,4
ParlaMint-TR-en_2011-11-02-tbmm-T24-meta.tsv,2011-11-02,52,5
ParlaMint-TR-en_2011-11-03-tbmm-T24-meta.tsv,2011-11-03,42,6
ParlaMint-TR-en_2011-11-10-tbmm-T24-meta.tsv,2011-11-10,21,3
ParlaMint-TR-en_2011-11-15-tbmm-T24-meta.tsv,2011-11-15,65,7
ParlaMint-TR-en_2011-11-16-tbmm-T24-meta.tsv,2011-11-16,66,6
ParlaMint-TR-en_2011-11-17-tbmm-T24-meta.tsv,2011-11-17,69,5
ParlaMint-TR-en_2011-11-22-tbmm-T24-meta.tsv,2011-11-22,37,6
ParlaMint-TR-en_2011-11-23-tbmm-T24-meta.tsv,2011-11-23,55,5
ParlaMint-TR-en_2011-11-24-tbmm-T24-meta.tsv,2011-11-24,70,8
ParlaMint-TR-en_2011-11-25-tbmm-T24-meta.tsv,2011-11-25,40,0
ParlaMint-TR-en_2011-11-29-tbmm-T24-meta.tsv,2011-11-29,49,2
ParlaMint-TR-en_2011-11-30-tbmm-T24-meta.tsv,2011-11-30,65,7
ParlaMint-TR-en_2011-12-01-tbmm-T24-meta.tsv,2011-12-01,25,1
ParlaMint-TR-en_2011-12-02-tbmm-T24-meta.tsv,2011-12-02,2,0
ParlaMint-TR-en_2011-12-06-tbmm-T24-meta.tsv,2011-12-06,27,3
ParlaMint-TR-en_2011-12-07-tbmm-T24-meta.tsv,2011-12-07,38,3
ParlaMint-TR-en_2011-12-08-tbmm-T24-meta.tsv,2011-12-08,58,3
ParlaMint-TR-en_2011-12-09-tbmm-T24-meta.tsv,2011-12-09,96,12
ParlaMint-TR-en_2011-12-10-tbmm-T24-meta.tsv,2011-12-10,39,2
ParlaMint-TR-en_2011-12-11-tbmm-T24-meta.tsv,2011-12-11,45,6
ParlaMint-TR-en_2011-12-12-tbmm-T24-meta.tsv,2011-12-12,68,5
ParlaMint-TR-en_2011-12-13-tbmm-T24-meta.tsv,2011-12-13,94,13
ParlaMint-TR-en_2011-12-14-tbmm-T24-meta.tsv,2011-12-14,83,12
ParlaMint-TR-en_2011-12-15-tbmm-T24-meta.tsv,2011-12-15,56,6
ParlaMint-TR-en_2011-12-16-tbmm-T24-meta.tsv,2011-12-16,60,11
ParlaMint-TR-en_2011-12-17-tbmm-T24-meta.tsv,2011-12-17,63,7
ParlaMint-TR-en_2011-12-18-tbmm-T24-meta.tsv,2011-12-18,33,2
ParlaMint-TR-en_2011-12-19-tbmm-T24-meta.tsv,2011-12-19,57,5
ParlaMint-TR-en_2011-12-20-tbmm-T24-meta.tsv,2011-12-20,80,6
ParlaMint-TR-en_2011-12-21-tbmm-T24-meta.tsv,2011-12-21,34,3
ParlaMint-TR-en_2011-12-22-tbmm-T24-meta.tsv,2011-12-22,63,5
ParlaMint-TR-en_2012-01-03-tbmm-T24-meta.tsv,2012-01-03,38,2
ParlaMint-TR-en_2012-01-04-tbmm-T24-meta.tsv,2012-01-04,23,2
ParlaMint-TR-en_2012-01-05-tbmm-T24-meta.tsv,2012-01-05,28,2
ParlaMint-TR-en_2012-01-10-tbmm-T24-meta.tsv,2012-01-10,34,5
ParlaMint-TR-en_2012-01-11-tbmm-T24-meta.tsv,2012-01-11,40,5
ParlaMint-TR-en_2012-01-12-tbmm-T24-meta.tsv,2012-01-12,30,3
ParlaMint-TR-en_2012-01-17-tbmm-T24-meta.tsv,2012-01-17,39,2
ParlaMint-TR-en_2012-01-18-tbmm-T24-meta.tsv,2012-01-18,52,4
ParlaMint-TR-en_2012-01-19-tbmm-T24-meta.tsv,2012-01-19,73,9
ParlaMint-TR-en_2012-01-24-tbmm-T24-meta.tsv,2012-01-24,15,3
ParlaMint-TR-en_2012-01-25-tbmm-T24-meta.tsv,2012-01-25,37,5
ParlaMint-TR-en_2012-01-26-tbmm-T24-meta.tsv,2012-01-26,51,2
ParlaMint-TR-en_2012-01-31-tbmm-T24-meta.tsv,2012-01-31,41,4
ParlaMint-TR-en_2012-02-01-tbmm-T24-meta.tsv,2012-02-01,37,6
ParlaMint-TR-en_2012-02-02-tbmm-T24-meta.tsv,2012-02-02,66,3
ParlaMint-TR-en_2012-02-03-tbmm-T24-meta.tsv,2012-02-03,35,0
