Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2019-04-24-ps2017-028-05-006-030	ParlaMint-CZ_2019-04-24-ps2017-028-05-006-030.u1	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-24	2019-04-24	Lower house	ps2017	-	ps2017/028	ps2017/028/05	ps2017/028/030	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2019-04-24-ps2017-028-05-006-030	ParlaMint-CZ_2019-04-24-ps2017-028-05-006-030.u2	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-24	2019-04-24	Lower house	ps2017	-	ps2017/028	ps2017/028/05	ps2017/028/030	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JanRehounek.1974	Řehounek, Jan	M	1974	
ParlaMint-CZ-en_2019-04-24-ps2017-028-05-006-030	ParlaMint-CZ_2019-04-24-ps2017-028-05-006-030.u3	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-24	2019-04-24	Lower house	ps2017	-	ps2017/028	ps2017/028/05	ps2017/028/030	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2019-04-24-ps2017-028-05-006-030	ParlaMint-CZ_2019-04-24-ps2017-028-05-006-030.u4	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-24	2019-04-24	Lower house	ps2017	-	ps2017/028	ps2017/028/05	ps2017/028/030	Reference	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Opposition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2019-04-24-ps2017-028-05-006-030	ParlaMint-CZ_2019-04-24-ps2017-028-05-006-030.u5	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-24	2019-04-24	Lower house	ps2017	-	ps2017/028	ps2017/028/05	ps2017/028/030	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2019-04-24-ps2017-028-05-006-030	ParlaMint-CZ_2019-04-24-ps2017-028-05-006-030.u6	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-24	2019-04-24	Lower house	ps2017	-	ps2017/028	ps2017/028/05	ps2017/028/030	Reference	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Opposition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2019-04-24-ps2017-028-05-006-030	ParlaMint-CZ_2019-04-24-ps2017-028-05-006-030.u7	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-24	2019-04-24	Lower house	ps2017	-	ps2017/028	ps2017/028/05	ps2017/028/030	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2019-04-24-ps2017-028-05-006-030	ParlaMint-CZ_2019-04-24-ps2017-028-05-006-030.u8	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-24	2019-04-24	Lower house	ps2017	-	ps2017/028	ps2017/028/05	ps2017/028/030	Reference	English	Regular	notMP	Minister	-	-	-	-	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2019-04-24-ps2017-028-05-006-030	ParlaMint-CZ_2019-04-24-ps2017-028-05-006-030.u9	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-24	2019-04-24	Lower house	ps2017	-	ps2017/028	ps2017/028/05	ps2017/028/030	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2019-04-24-ps2017-028-05-006-030	ParlaMint-CZ_2019-04-24-ps2017-028-05-006-030.u10	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-24	2019-04-24	Lower house	ps2017	-	ps2017/028	ps2017/028/05	ps2017/028/030	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JanRehounek.1974	Řehounek, Jan	M	1974	
ParlaMint-CZ-en_2019-04-24-ps2017-028-05-006-030	ParlaMint-CZ_2019-04-24-ps2017-028-05-006-030.u11	Parliament of the Czech Republic, Chamber of Deputies, 2019-04-24	2019-04-24	Lower house	ps2017	-	ps2017/028	ps2017/028/05	ps2017/028/030	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
