Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2019-03-12-ps2017-027-05-004-004	ParlaMint-CZ_2019-03-12-ps2017-027-05-004-004.u1	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-12	2019-03-12	Lower house	ps2017	-	ps2017/027	ps2017/027/05	ps2017/027/004	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-03-12-ps2017-027-05-004-004	ParlaMint-CZ_2019-03-12-ps2017-027-05-004-004.u2	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-12	2019-03-12	Lower house	ps2017	-	ps2017/027	ps2017/027/05	ps2017/027/004	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	StanislavGrospic.1964	Grospič, Stanislav	M	1964	
ParlaMint-CZ-en_2019-03-12-ps2017-027-05-004-004	ParlaMint-CZ_2019-03-12-ps2017-027-05-004-004.u3	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-12	2019-03-12	Lower house	ps2017	-	ps2017/027	ps2017/027/05	ps2017/027/004	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-03-12-ps2017-027-05-004-004	ParlaMint-CZ_2019-03-12-ps2017-027-05-004-004.u4	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-12	2019-03-12	Lower house	ps2017	-	ps2017/027	ps2017/027/05	ps2017/027/004	Reference	English	Guest	MP	notMinister	-	-	-	-	TomasGolan	Goláň, Tomáš	M	-	
ParlaMint-CZ-en_2019-03-12-ps2017-027-05-004-004	ParlaMint-CZ_2019-03-12-ps2017-027-05-004-004.u5	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-12	2019-03-12	Lower house	ps2017	-	ps2017/027	ps2017/027/05	ps2017/027/004	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-03-12-ps2017-027-05-004-004	ParlaMint-CZ_2019-03-12-ps2017-027-05-004-004.u6	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-12	2019-03-12	Lower house	ps2017	-	ps2017/027	ps2017/027/05	ps2017/027/004	Reference	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	PavelBelobradek.1976	Bělobrádek, Pavel	M	1976	
ParlaMint-CZ-en_2019-03-12-ps2017-027-05-004-004	ParlaMint-CZ_2019-03-12-ps2017-027-05-004-004.u7	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-12	2019-03-12	Lower house	ps2017	-	ps2017/027	ps2017/027/05	ps2017/027/004	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-03-12-ps2017-027-05-004-004	ParlaMint-CZ_2019-03-12-ps2017-027-05-004-004.u8	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-12	2019-03-12	Lower house	ps2017	-	ps2017/027	ps2017/027/05	ps2017/027/004	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2019-03-12-ps2017-027-05-004-004	ParlaMint-CZ_2019-03-12-ps2017-027-05-004-004.u9	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-12	2019-03-12	Lower house	ps2017	-	ps2017/027	ps2017/027/05	ps2017/027/004	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-03-12-ps2017-027-05-004-004	ParlaMint-CZ_2019-03-12-ps2017-027-05-004-004.u10	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-12	2019-03-12	Lower house	ps2017	-	ps2017/027	ps2017/027/05	ps2017/027/004	Reference	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	MarekVyborny.1976	Výborný, Marek	M	1976	
ParlaMint-CZ-en_2019-03-12-ps2017-027-05-004-004	ParlaMint-CZ_2019-03-12-ps2017-027-05-004-004.u11	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-12	2019-03-12	Lower house	ps2017	-	ps2017/027	ps2017/027/05	ps2017/027/004	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
