Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u1	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u2	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	JiriMihola.1972	Mihola, Jiří	M	1972	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u3	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u4	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	JiriMihola.1972	Mihola, Jiří	M	1972	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u5	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u6	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	JiriMihola.1972	Mihola, Jiří	M	1972	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u7	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u8	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	IvanJac.1956	Jáč, Ivan	M	1956	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u9	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u10	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TerezaHythova.1995	Hyťhová, Tereza	F	1995	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u11	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
