Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2005-01-23-m0	ParlaMint-UA_2005-01-23-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 6, sitting day 2005-01-23, n0	2005-01-23	Unicameralism	4	6	-	2005-01-23	-	Reference	English	Chairperson	MP	notMinister	bZaEdU	For United Ukraine!	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2005-01-23-m0	ParlaMint-UA_2005-01-23-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 6, sitting day 2005-01-23, n0	2005-01-23	Unicameralism	4	6	-	2005-01-23	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ЯрославВасильовичДавидович.1948	Davydovyč, Jaroslav Vasyl'ovyč	M	1948	
ParlaMint-UA-en_2005-01-23-m0	ParlaMint-UA_2005-01-23-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 6, sitting day 2005-01-23, n0	2005-01-23	Unicameralism	4	6	-	2005-01-23	-	Reference	English	Chairperson	MP	notMinister	bZaEdU	For United Ukraine!	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2005-01-23-m0	ParlaMint-UA_2005-01-23-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 6, sitting day 2005-01-23, n0	2005-01-23	Unicameralism	4	6	-	2005-01-23	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	МиколаФедосовичСелівон.1946	Selivon, Mykola Fedosovyč	M	1946	
ParlaMint-UA-en_2005-01-23-m0	ParlaMint-UA_2005-01-23-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 6, sitting day 2005-01-23, n0	2005-01-23	Unicameralism	4	6	-	2005-01-23	-	Reference	English	Regular	MP	notMinister	frNU02	Our Ukraine Bloc 2002 Faction	-	Centre-right	ВікторАндрійовичЮщенко.1954	Juščenko, Viktor Andrijovyč	M	1954	
ParlaMint-UA-en_2005-01-23-m0	ParlaMint-UA_2005-01-23-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 6, sitting day 2005-01-23, n0	2005-01-23	Unicameralism	4	6	-	2005-01-23	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	МиколаФедосовичСелівон.1946	Selivon, Mykola Fedosovyč	M	1946	
ParlaMint-UA-en_2005-01-23-m0	ParlaMint-UA_2005-01-23-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 6, sitting day 2005-01-23, n0	2005-01-23	Unicameralism	4	6	-	2005-01-23	-	Reference	English	Chairperson	MP	notMinister	bZaEdU	For United Ukraine!	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2005-01-23-m0	ParlaMint-UA_2005-01-23-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 6, sitting day 2005-01-23, n0	2005-01-23	Unicameralism	4	6	-	2005-01-23	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	МиколаФедосовичСелівон.1946	Selivon, Mykola Fedosovyč	M	1946	
ParlaMint-UA-en_2005-01-23-m0	ParlaMint-UA_2005-01-23-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 6, sitting day 2005-01-23, n0	2005-01-23	Unicameralism	4	6	-	2005-01-23	-	Reference	English	Chairperson	MP	notMinister	bZaEdU	For United Ukraine!	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2005-01-23-m0	ParlaMint-UA_2005-01-23-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 6, sitting day 2005-01-23, n0	2005-01-23	Unicameralism	4	6	-	2005-01-23	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ЯрославВасильовичДавидович.1948	Davydovyč, Jaroslav Vasyl'ovyč	M	1948	
ParlaMint-UA-en_2005-01-23-m0	ParlaMint-UA_2005-01-23-m0.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 6, sitting day 2005-01-23, n0	2005-01-23	Unicameralism	4	6	-	2005-01-23	-	Reference	English	Chairperson	MP	notMinister	bZaEdU	For United Ukraine!	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
