Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-07-08-025-XXV-NRSITZ-00141	ParlaMint-AT_2016-07-08-025-XXV-NRSITZ-00141_d7e763	Sitting Number 141, Legislative period XXV, Friday, 8. July 2016	2016-07-08	Lower house	Legislative period XXV	-	-	Sitting 141	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-07-08-025-XXV-NRSITZ-00141	ParlaMint-AT_2016-07-08-025-XXV-NRSITZ-00141_d7e797	Sitting Number 141, Legislative period XXV, Friday, 8. July 2016	2016-07-08	Lower house	Legislative period XXV	-	-	Sitting 141	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-07-08-025-XXV-NRSITZ-00141	ParlaMint-AT_2016-07-08-025-XXV-NRSITZ-00141_d7e896	Sitting Number 141, Legislative period XXV, Friday, 8. July 2016	2016-07-08	Lower house	Legislative period XXV	-	-	Sitting 141	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-07-08-025-XXV-NRSITZ-00141	ParlaMint-AT_2016-07-08-025-XXV-NRSITZ-00141_d7e923	Sitting Number 141, Legislative period XXV, Friday, 8. July 2016	2016-07-08	Lower house	Legislative period XXV	-	-	Sitting 141	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-07-08-025-XXV-NRSITZ-00141	ParlaMint-AT_2016-07-08-025-XXV-NRSITZ-00141_d7e978	Sitting Number 141, Legislative period XXV, Friday, 8. July 2016	2016-07-08	Lower house	Legislative period XXV	-	-	Sitting 141	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
