Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-04-27-025-XXV-NRSITZ-00124	ParlaMint-AT_2016-04-27-025-XXV-NRSITZ-00124_d7e415	Sitting Number 124, Legislative period XXV, Wednesday, 27. April 2016	2016-04-27	Lower house	Legislative period XXV	-	-	Sitting 124	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2016-04-27-025-XXV-NRSITZ-00124	ParlaMint-AT_2016-04-27-025-XXV-NRSITZ-00124_d7e446	Sitting Number 124, Legislative period XXV, Wednesday, 27. April 2016	2016-04-27	Lower house	Legislative period XXV	-	-	Sitting 124	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2016-04-27-025-XXV-NRSITZ-00124	ParlaMint-AT_2016-04-27-025-XXV-NRSITZ-00124_d7e911	Sitting Number 124, Legislative period XXV, Wednesday, 27. April 2016	2016-04-27	Lower house	Legislative period XXV	-	-	Sitting 124	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
