Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-03-17-025-XXV-NRSITZ-00120	ParlaMint-AT_2016-03-17-025-XXV-NRSITZ-00120_d7e361	Sitting Number 120, Legislative period XXV, Thursday, 17. March 2016	2016-03-17	Lower house	Legislative period XXV	-	-	Sitting 120	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2016-03-17-025-XXV-NRSITZ-00120	ParlaMint-AT_2016-03-17-025-XXV-NRSITZ-00120_d7e401	Sitting Number 120, Legislative period XXV, Thursday, 17. March 2016	2016-03-17	Lower house	Legislative period XXV	-	-	Sitting 120	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2016-03-17-025-XXV-NRSITZ-00120	ParlaMint-AT_2016-03-17-025-XXV-NRSITZ-00120_d7e621	Sitting Number 120, Legislative period XXV, Thursday, 17. March 2016	2016-03-17	Lower house	Legislative period XXV	-	-	Sitting 120	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
