Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-10-12-025-XXV-NRSITZ-00147	ParlaMint-AT_2016-10-12-025-XXV-NRSITZ-00147_d7e468	Sitting Number 147, Legislative period XXV, Wednesday, 12. October 2016	2016-10-12	Lower house	Legislative period XXV	-	-	Sitting 147	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-10-12-025-XXV-NRSITZ-00147	ParlaMint-AT_2016-10-12-025-XXV-NRSITZ-00147_d7e505	Sitting Number 147, Legislative period XXV, Wednesday, 12. October 2016	2016-10-12	Lower house	Legislative period XXV	-	-	Sitting 147	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-10-12-025-XXV-NRSITZ-00147	ParlaMint-AT_2016-10-12-025-XXV-NRSITZ-00147_d7e735	Sitting Number 147, Legislative period XXV, Wednesday, 12. October 2016	2016-10-12	Lower house	Legislative period XXV	-	-	Sitting 147	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
