Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-11-09-025-XXV-NRSITZ-00151	ParlaMint-AT_2016-11-09-025-XXV-NRSITZ-00151_d7e352	Sitting Number 151, Legislative period XXV, Wednesday, 9. November 2016	2016-11-09	Lower house	Legislative period XXV	-	-	Sitting 151	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-11-09-025-XXV-NRSITZ-00151	ParlaMint-AT_2016-11-09-025-XXV-NRSITZ-00151_d7e386	Sitting Number 151, Legislative period XXV, Wednesday, 9. November 2016	2016-11-09	Lower house	Legislative period XXV	-	-	Sitting 151	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-11-09-025-XXV-NRSITZ-00151	ParlaMint-AT_2016-11-09-025-XXV-NRSITZ-00151_d7e579	Sitting Number 151, Legislative period XXV, Wednesday, 9. November 2016	2016-11-09	Lower house	Legislative period XXV	-	-	Sitting 151	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
