Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-06-15-025-XXV-NRSITZ-00133	ParlaMint-AT_2016-06-15-025-XXV-NRSITZ-00133_d7e587	Sitting Number 133, Legislative period XXV, Wednesday, 15. June 2016	2016-06-15	Lower house	Legislative period XXV	-	-	Sitting 133	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-06-15-025-XXV-NRSITZ-00133	ParlaMint-AT_2016-06-15-025-XXV-NRSITZ-00133_d7e618	Sitting Number 133, Legislative period XXV, Wednesday, 15. June 2016	2016-06-15	Lower house	Legislative period XXV	-	-	Sitting 133	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-06-15-025-XXV-NRSITZ-00133	ParlaMint-AT_2016-06-15-025-XXV-NRSITZ-00133_d7e872	Sitting Number 133, Legislative period XXV, Wednesday, 15. June 2016	2016-06-15	Lower house	Legislative period XXV	-	-	Sitting 133	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
