Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-10-13-025-XXV-NRSITZ-00149	ParlaMint-AT_2016-10-13-025-XXV-NRSITZ-00149_d7e404	Sitting Number 149, Legislative period XXV, Thursday, 13. October 2016	2016-10-13	Lower house	Legislative period XXV	-	-	Sitting 149	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-10-13-025-XXV-NRSITZ-00149	ParlaMint-AT_2016-10-13-025-XXV-NRSITZ-00149_d7e438	Sitting Number 149, Legislative period XXV, Thursday, 13. October 2016	2016-10-13	Lower house	Legislative period XXV	-	-	Sitting 149	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-10-13-025-XXV-NRSITZ-00149	ParlaMint-AT_2016-10-13-025-XXV-NRSITZ-00149_d7e679	Sitting Number 149, Legislative period XXV, Thursday, 13. October 2016	2016-10-13	Lower house	Legislative period XXV	-	-	Sitting 149	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
