Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-03-16-025-XXV-NRSITZ-00118	ParlaMint-AT_2016-03-16-025-XXV-NRSITZ-00118_d7e376	Sitting Number 118, Legislative period XXV, Wednesday, 16. March 2016	2016-03-16	Lower house	Legislative period XXV	-	-	Sitting 118	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-03-16-025-XXV-NRSITZ-00118	ParlaMint-AT_2016-03-16-025-XXV-NRSITZ-00118_d7e416	Sitting Number 118, Legislative period XXV, Wednesday, 16. March 2016	2016-03-16	Lower house	Legislative period XXV	-	-	Sitting 118	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-03-16-025-XXV-NRSITZ-00118	ParlaMint-AT_2016-03-16-025-XXV-NRSITZ-00118_d7e621	Sitting Number 118, Legislative period XXV, Wednesday, 16. March 2016	2016-03-16	Lower house	Legislative period XXV	-	-	Sitting 118	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
