Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-05-18-025-XXV-NRSITZ-00129	ParlaMint-AT_2016-05-18-025-XXV-NRSITZ-00129_d7e449	Sitting Number 129, Legislative period XXV, Wednesday, 18. May 2016	2016-05-18	Lower house	Legislative period XXV	-	-	Sitting 129	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-05-18-025-XXV-NRSITZ-00129	ParlaMint-AT_2016-05-18-025-XXV-NRSITZ-00129_d7e480	Sitting Number 129, Legislative period XXV, Wednesday, 18. May 2016	2016-05-18	Lower house	Legislative period XXV	-	-	Sitting 129	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-05-18-025-XXV-NRSITZ-00129	ParlaMint-AT_2016-05-18-025-XXV-NRSITZ-00129_d7e883	Sitting Number 129, Legislative period XXV, Wednesday, 18. May 2016	2016-05-18	Lower house	Legislative period XXV	-	-	Sitting 129	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
