Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-11-10-025-XXV-NRSITZ-00153	ParlaMint-AT_2016-11-10-025-XXV-NRSITZ-00153_d7e464	Sitting Number 153, Legislative period XXV, Thursday, 10. November 2016	2016-11-10	Lower house	Legislative period XXV	-	-	Sitting 153	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-11-10-025-XXV-NRSITZ-00153	ParlaMint-AT_2016-11-10-025-XXV-NRSITZ-00153_d7e498	Sitting Number 153, Legislative period XXV, Thursday, 10. November 2016	2016-11-10	Lower house	Legislative period XXV	-	-	Sitting 153	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-11-10-025-XXV-NRSITZ-00153	ParlaMint-AT_2016-11-10-025-XXV-NRSITZ-00153_d7e611	Sitting Number 153, Legislative period XXV, Thursday, 10. November 2016	2016-11-10	Lower house	Legislative period XXV	-	-	Sitting 153	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
