Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-05-19-025-XXV-NRSITZ-00131	ParlaMint-AT_2016-05-19-025-XXV-NRSITZ-00131_d7e392	Sitting Number 131, Legislative period XXV, Thursday, 19. May 2016	2016-05-19	Lower house	Legislative period XXV	-	-	Sitting 131	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2016-05-19-025-XXV-NRSITZ-00131	ParlaMint-AT_2016-05-19-025-XXV-NRSITZ-00131_d7e429	Sitting Number 131, Legislative period XXV, Thursday, 19. May 2016	2016-05-19	Lower house	Legislative period XXV	-	-	Sitting 131	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2016-05-19-025-XXV-NRSITZ-00131	ParlaMint-AT_2016-05-19-025-XXV-NRSITZ-00131_d7e734	Sitting Number 131, Legislative period XXV, Thursday, 19. May 2016	2016-05-19	Lower house	Legislative period XXV	-	-	Sitting 131	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
