Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-06-16-025-XXV-NRSITZ-00135	ParlaMint-AT_2016-06-16-025-XXV-NRSITZ-00135_d7e385	Sitting Number 135, Legislative period XXV, Thursday, 16. June 2016	2016-06-16	Lower house	Legislative period XXV	-	-	Sitting 135	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-06-16-025-XXV-NRSITZ-00135	ParlaMint-AT_2016-06-16-025-XXV-NRSITZ-00135_d7e416	Sitting Number 135, Legislative period XXV, Thursday, 16. June 2016	2016-06-16	Lower house	Legislative period XXV	-	-	Sitting 135	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-06-16-025-XXV-NRSITZ-00135	ParlaMint-AT_2016-06-16-025-XXV-NRSITZ-00135_d7e807	Sitting Number 135, Legislative period XXV, Thursday, 16. June 2016	2016-06-16	Lower house	Legislative period XXV	-	-	Sitting 135	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
