Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-11-24-025-XXV-NRSITZ-00155	ParlaMint-AT_2016-11-24-025-XXV-NRSITZ-00155_d7e1912	Sitting Number 155, Legislative period XXV, Thursday, 24. November 2016	2016-11-24	Lower house	Legislative period XXV	-	-	Sitting 155	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-11-24-025-XXV-NRSITZ-00155	ParlaMint-AT_2016-11-24-025-XXV-NRSITZ-00155_d7e1952	Sitting Number 155, Legislative period XXV, Thursday, 24. November 2016	2016-11-24	Lower house	Legislative period XXV	-	-	Sitting 155	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-11-24-025-XXV-NRSITZ-00155	ParlaMint-AT_2016-11-24-025-XXV-NRSITZ-00155_d7e2514	Sitting Number 155, Legislative period XXV, Thursday, 24. November 2016	2016-11-24	Lower house	Legislative period XXV	-	-	Sitting 155	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
