Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00127	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00127_d7e395	Sitting Number 127, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 127	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00127	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00127_d7e426	Sitting Number 127, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 127	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00127	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00127_d7e677	Sitting Number 127, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 127	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
