Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-04-18-025-XXV-NRSITZ-00122	ParlaMint-AT_2016-04-18-025-XXV-NRSITZ-00122_d7e649	Sitting Number 122, Legislative period XXV, Monday, 18. April 2016	2016-04-18	Lower house	Legislative period XXV	-	-	Sitting 122	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-04-18-025-XXV-NRSITZ-00122	ParlaMint-AT_2016-04-18-025-XXV-NRSITZ-00122_d7e686	Sitting Number 122, Legislative period XXV, Monday, 18. April 2016	2016-04-18	Lower house	Legislative period XXV	-	-	Sitting 122	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-04-18-025-XXV-NRSITZ-00122	ParlaMint-AT_2016-04-18-025-XXV-NRSITZ-00122_d7e798	Sitting Number 122, Legislative period XXV, Monday, 18. April 2016	2016-04-18	Lower house	Legislative period XXV	-	-	Sitting 122	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
