Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-02-24-025-XXV-NRSITZ-00114	ParlaMint-AT_2016-02-24-025-XXV-NRSITZ-00114_d7e385	Sitting Number 114, Legislative period XXV, Wednesday, 24. February 2016	2016-02-24	Lower house	Legislative period XXV	-	-	Sitting 114	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-02-24-025-XXV-NRSITZ-00114	ParlaMint-AT_2016-02-24-025-XXV-NRSITZ-00114_d7e419	Sitting Number 114, Legislative period XXV, Wednesday, 24. February 2016	2016-02-24	Lower house	Legislative period XXV	-	-	Sitting 114	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-02-24-025-XXV-NRSITZ-00114	ParlaMint-AT_2016-02-24-025-XXV-NRSITZ-00114_d7e971	Sitting Number 114, Legislative period XXV, Wednesday, 24. February 2016	2016-02-24	Lower house	Legislative period XXV	-	-	Sitting 114	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
