Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-07-07-025-XXV-NRSITZ-00139	ParlaMint-AT_2016-07-07-025-XXV-NRSITZ-00139_d7e379	Sitting Number 139, Legislative period XXV, Thursday, 7. July 2016	2016-07-07	Lower house	Legislative period XXV	-	-	Sitting 139	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-07-07-025-XXV-NRSITZ-00139	ParlaMint-AT_2016-07-07-025-XXV-NRSITZ-00139_d7e410	Sitting Number 139, Legislative period XXV, Thursday, 7. July 2016	2016-07-07	Lower house	Legislative period XXV	-	-	Sitting 139	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2016-07-07-025-XXV-NRSITZ-00139	ParlaMint-AT_2016-07-07-025-XXV-NRSITZ-00139_d7e541	Sitting Number 139, Legislative period XXV, Thursday, 7. July 2016	2016-07-07	Lower house	Legislative period XXV	-	-	Sitting 139	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
