Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-01-27-025-XXV-NRSITZ-00112	ParlaMint-AT_2016-01-27-025-XXV-NRSITZ-00112_d7e380	Sitting Number 112, Legislative period XXV, Wednesday, 27. January 2016	2016-01-27	Lower house	Legislative period XXV	-	-	Sitting 112	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-01-27-025-XXV-NRSITZ-00112	ParlaMint-AT_2016-01-27-025-XXV-NRSITZ-00112_d7e411	Sitting Number 112, Legislative period XXV, Wednesday, 27. January 2016	2016-01-27	Lower house	Legislative period XXV	-	-	Sitting 112	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-01-27-025-XXV-NRSITZ-00112	ParlaMint-AT_2016-01-27-025-XXV-NRSITZ-00112_d7e883	Sitting Number 112, Legislative period XXV, Wednesday, 27. January 2016	2016-01-27	Lower house	Legislative period XXV	-	-	Sitting 112	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
