Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-07-06-025-XXV-NRSITZ-00137	ParlaMint-AT_2016-07-06-025-XXV-NRSITZ-00137_d7e420	Sitting Number 137, Legislative period XXV, Wednesday, 6. July 2016	2016-07-06	Lower house	Legislative period XXV	-	-	Sitting 137	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-07-06-025-XXV-NRSITZ-00137	ParlaMint-AT_2016-07-06-025-XXV-NRSITZ-00137_d7e448	Sitting Number 137, Legislative period XXV, Wednesday, 6. July 2016	2016-07-06	Lower house	Legislative period XXV	-	-	Sitting 137	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-07-06-025-XXV-NRSITZ-00137	ParlaMint-AT_2016-07-06-025-XXV-NRSITZ-00137_d7e707	Sitting Number 137, Legislative period XXV, Wednesday, 6. July 2016	2016-07-06	Lower house	Legislative period XXV	-	-	Sitting 137	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
