Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FR-en_2018-07-21-E1030	ParlaMint-FR_2018-07-21-E1030.u1	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 30, 21/07/2018	2018-07-21	Lower house	15e législature	Première session extraordinaire 2018 (CRSANR5L15S2018E1N030)	-	30. séance	-	Reference	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA332747	de Rugy, François	M	1973	
ParlaMint-FR-en_2018-07-21-E1030	ParlaMint-FR_2018-07-21-E1030.u2	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 30, 21/07/2018	2018-07-21	Lower house	15e législature	Première session extraordinaire 2018 (CRSANR5L15S2018E1N030)	-	30. séance	-	Reference	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA332747	de Rugy, François	M	1973	
ParlaMint-FR-en_2018-07-21-E1030	ParlaMint-FR_2018-07-21-E1030.u3	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 30, 21/07/2018	2018-07-21	Lower house	15e législature	Première session extraordinaire 2018 (CRSANR5L15S2018E1N030)	-	30. séance	-	Reference	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA332747	de Rugy, François	M	1973	
