Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e26	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e69	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e76	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ÅSJ	Sem-Jacobsen, Åslaug	F	1971	
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e81	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e97	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e106	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.INK	Kjerkol, Ingvild	F	1975	
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e115	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Regular	notMP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.ASC	Michaelsen, Åse	F	1960	
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e122	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.INK	Kjerkol, Ingvild	F	1975	
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e129	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Regular	notMP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.ASC	Michaelsen, Åse	F	1960	
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e136	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e141	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ELW	Waagen, Elise	F	1990	
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e148	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Regular	notMP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.ASC	Michaelsen, Åse	F	1960	
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e153	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e158	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ELW	Waagen, Elise	F	1990	
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e164	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Regular	notMP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.ASC	Michaelsen, Åse	F	1960	
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e169	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e174	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.KJT	Toppe, Kjersti	F	1967	
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e183	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Regular	notMP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.ASC	Michaelsen, Åse	F	1960	
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e188	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2018-11-14	ParlaMint-NO_2018-11-14.ana.ud118e193	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-14	2018-11-14	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-14	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
