Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG-en_2016-10-14	ParlaMint-BG_2016-10-14.u1	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 7, Meeting 19 (2016-10-14)	2016-10-14	Unicameralism	Четиридесет и четвърто народно събрание	7 парламентарна сесия	19 извънредно пленарно заседание	2016-10-14	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GlavchevDimitar	Glavchev, Dimitar Borisov	M	1963	
ParlaMint-BG-en_2016-10-14	ParlaMint-BG_2016-10-14.u2	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 7, Meeting 19 (2016-10-14)	2016-10-14	Unicameralism	Четиридесет и четвърто народно събрание	7 парламентарна сесия	19 извънредно пленарно заседание	2016-10-14	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GlavchevDimitar	Glavchev, Dimitar Borisov	M	1963	
ParlaMint-BG-en_2016-10-14	ParlaMint-BG_2016-10-14.u3	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 7, Meeting 19 (2016-10-14)	2016-10-14	Unicameralism	Четиридесет и четвърто народно събрание	7 парламентарна сесия	19 извънредно пленарно заседание	2016-10-14	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GlavchevDimitar	Glavchev, Dimitar Borisov	M	1963	
