Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2019-08-29-m0	ParlaMint-UA_2019-08-29-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 1, sitting day 2019-08-29, n0	2019-08-29	Unicameralism	9	1	-	2019-08-29	-	Reference	English	Chairperson	MP	notMinister	frES	European Solidarity Faction	Opposition	Centre-right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2019-08-29-m0	ParlaMint-UA_2019-08-29-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 1, sitting day 2019-08-29, n0	2019-08-29	Unicameralism	9	1	-	2019-08-29	-	Reference	English	Regular	MP	notMinister	frOPZZh	Opposition Platform – For Life Faction	Opposition	Centre to centre-left	ЮлійЯковичІоффе.1940	Ioffe, Julij Jakovyč	M	1940	
ParlaMint-UA-en_2019-08-29-m0	ParlaMint-UA_2019-08-29-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 1, sitting day 2019-08-29, n0	2019-08-29	Unicameralism	9	1	-	2019-08-29	-	Reference	English	Chairperson	MP	notMinister	frES	European Solidarity Faction	Opposition	Centre-right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
