Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u1	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u2	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u3	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	PabloAzconaMolinet	Azcona Molinet, Pablo	M	-	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u4	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u5	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	MikelBuilGarcía	Buil García, Mikel	M	1979	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u6	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u7	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	MarisaDeSimónCaballero	De Simón Caballero, Marisa	F	-	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u8	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u9	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Regular	MP	notMinister	Vox	Vox	Opposition	Right to far-right	JoaquínRoblesLópez	Robles López, Joaquín	M	1964	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u10	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u11	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Regular	MP	notMinister	Vox	Vox	Opposition	Right to far-right	JoaquínRoblesLópez	Robles López, Joaquín	M	1964	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u12	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u13	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	MarisaDeSimónCaballero	De Simón Caballero, Marisa	F	-	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u14	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u15	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	MikelBuilGarcía	Buil García, Mikel	M	1979	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u16	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u17	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	PabloAzconaMolinet	Azcona Molinet, Pablo	M	-	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u18	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u19	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Regular	MP	notMinister	Vox	Vox	Opposition	Right to far-right	JoaquínRoblesLópez	Robles López, Joaquín	M	1964	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u20	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u21	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Regular	MP	notMinister	-	-	-	-	CarlosGarcíaAdanero	García Adanero, Carlos	M	1967	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u22	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u23	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Regular	MP	notMinister	EH Bildu	Euskal Herria Bildu	Opposition	Centre-left to left	IsabelPozuetaFernández	Pozueta Fernández, Isabel	F	1965	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u24	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u25	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	MikelLegardaUriarte	Legarda Uriarte, Mikel	M	1956	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u26	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u27	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	EdmundoBalFrancés	Bal Francés, Edmundo	M	1967	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u28	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u29	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Regular	MP	notMinister	UP	Unidas Podemos	Coalition	Left	RobertoUriarteTorrealday	Uriarte Torrealday, Roberto	M	1960	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u30	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u31	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Regular	MP	notMinister	PP	Partido Popular	Opposition	Centre-right to right	JoséAntonioBermúdezDeCastroFernández	Bermúdez De Castro Fernández, José Antonio	M	1959	
ParlaMint-ES-en_2021-09-14-CD210914	ParlaMint-ES_2021-09-14-CD210914.u32	Plenary session 115 (2021-09-14)	2021-09-14	Lower house	Legislatura XIV	Sesión plenaria núm. 115	-	2021-09-14	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
