Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u18	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	JxCat-Junts	Junts per Catalunya	Opposition	Centre-right	SergiMiqueliValentí	Miquel i Valentí, Sergi	M	1989	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u19	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u20	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	ECP-GeC	En Comú Podem - Guayem el Canvi	Coalition	Left	JoanMenaArca	Mena Arca, Joan	M	1975	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u21	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u22	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	Vox	Vox	Opposition	Right to far-right	GeorginaTríasGil	Trías Gil, Georgina	F	1973	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u23	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u24	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	Vox	Vox	Opposition	Right to far-right	GeorginaTríasGil	Trías Gil, Georgina	F	1973	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u25	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u26	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u27	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	MaribelGarcíaLópez	García López, Maribel	F	1973	
