Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2021-09-21-CD210921	ParlaMint-ES_2021-09-21-CD210921.u1	Plenary session 117 (2021-09-21)	2021-09-21	Lower house	Legislatura XIV	Sesión plenaria núm. 117	-	2021-09-21	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-21-CD210921	ParlaMint-ES_2021-09-21-CD210921.u2	Plenary session 117 (2021-09-21)	2021-09-21	Lower house	Legislatura XIV	Sesión plenaria núm. 117	-	2021-09-21	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-09-21-CD210921	ParlaMint-ES_2021-09-21-CD210921.u3	Plenary session 117 (2021-09-21)	2021-09-21	Lower house	Legislatura XIV	Sesión plenaria núm. 117	-	2021-09-21	-	COVID	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	LauraBerjaVega	Berja Vega, Laura	F	1986	
ParlaMint-ES-en_2021-09-21-CD210921	ParlaMint-ES_2021-09-21-CD210921.u4	Plenary session 117 (2021-09-21)	2021-09-21	Lower house	Legislatura XIV	Sesión plenaria núm. 117	-	2021-09-21	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-09-21-CD210921	ParlaMint-ES_2021-09-21-CD210921.u5	Plenary session 117 (2021-09-21)	2021-09-21	Lower house	Legislatura XIV	Sesión plenaria núm. 117	-	2021-09-21	-	COVID	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	LauraBerjaVega	Berja Vega, Laura	F	1986	
ParlaMint-ES-en_2021-09-21-CD210921	ParlaMint-ES_2021-09-21-CD210921.u6	Plenary session 117 (2021-09-21)	2021-09-21	Lower house	Legislatura XIV	Sesión plenaria núm. 117	-	2021-09-21	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-09-21-CD210921	ParlaMint-ES_2021-09-21-CD210921.u7	Plenary session 117 (2021-09-21)	2021-09-21	Lower house	Legislatura XIV	Sesión plenaria núm. 117	-	2021-09-21	-	COVID	English	Regular	MP	notMinister	Vox	Vox	Opposition	Right to far-right	MaríaDeLaCabezaRuizSolás	Ruiz Solás, María De La Cabeza	F	1970	
ParlaMint-ES-en_2021-09-21-CD210921	ParlaMint-ES_2021-09-21-CD210921.u8	Plenary session 117 (2021-09-21)	2021-09-21	Lower house	Legislatura XIV	Sesión plenaria núm. 117	-	2021-09-21	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-09-21-CD210921	ParlaMint-ES_2021-09-21-CD210921.u9	Plenary session 117 (2021-09-21)	2021-09-21	Lower house	Legislatura XIV	Sesión plenaria núm. 117	-	2021-09-21	-	COVID	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	LauraBerjaVega	Berja Vega, Laura	F	1986	
ParlaMint-ES-en_2021-09-21-CD210921	ParlaMint-ES_2021-09-21-CD210921.u10	Plenary session 117 (2021-09-21)	2021-09-21	Lower house	Legislatura XIV	Sesión plenaria núm. 117	-	2021-09-21	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-09-21-CD210921	ParlaMint-ES_2021-09-21-CD210921.u11	Plenary session 117 (2021-09-21)	2021-09-21	Lower house	Legislatura XIV	Sesión plenaria núm. 117	-	2021-09-21	-	COVID	English	Regular	MP	notMinister	Vox	Vox	Opposition	Right to far-right	JoséMaríaSánchezGarcía	Sánchez García, José María	M	1963	
ParlaMint-ES-en_2021-09-21-CD210921	ParlaMint-ES_2021-09-21-CD210921.u12	Plenary session 117 (2021-09-21)	2021-09-21	Lower house	Legislatura XIV	Sesión plenaria núm. 117	-	2021-09-21	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
