Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2013-12-31-tbmm-T24	tbmm-2013-12-31sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 41	2013-12-31	Unicameralism	24	4	41	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2013-12-31-tbmm-T24	tbmm-2013-12-31sit01spe0002par0004	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 41	2013-12-31	Unicameralism	24	4	41	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kamer.Genç	Genç, Kamer	M	1940	
ParlaMint-TR-en_2013-12-31-tbmm-T24	tbmm-2013-12-31sit01spe0001par0005	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 41	2013-12-31	Unicameralism	24	4	41	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
