Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2013-12-24-tbmm-T24	tbmm-2013-12-24sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 38	2013-12-24	Unicameralism	24	4	38	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2013-12-24-tbmm-T24	tbmm-2013-12-24sit01spe0002par0002	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 38	2013-12-24	Unicameralism	24	4	38	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Haydar.Akar	Akar, Haydar	M	1963	
ParlaMint-TR-en_2013-12-24-tbmm-T24	tbmm-2013-12-24sit01spe0001par0003	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 38	2013-12-24	Unicameralism	24	4	38	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
