Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2013-07-02-tbmm-T24	tbmm-2013-07-02sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 128	2013-07-02	Unicameralism	24	3	128	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2013-07-02-tbmm-T24	tbmm-2013-07-02sit01spe0002par0384	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 128	2013-07-02	Unicameralism	24	3	128	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2013-07-02-tbmm-T24	tbmm-2013-07-02sit01spe0003par0393	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 128	2013-07-02	Unicameralism	24	3	128	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
