Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2013-12-30-0	ParlaMint-BA_2013-12-30-0.u3859	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 35	2013-12-30	Unicameralism	6. mandat	-	Sjednica 35	2013-12-30	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	KošaracStaša	Košarac, Staša	M	1975	
ParlaMint-BA-en_2013-12-30-0	ParlaMint-BA_2013-12-30-0.u3861	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 35	2013-12-30	Unicameralism	6. mandat	-	Sjednica 35	2013-12-30	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2013-12-30-0	ParlaMint-BA_2013-12-30-0.u3862	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 35	2013-12-30	Unicameralism	6. mandat	-	Sjednica 35	2013-12-30	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	KošaracStaša	Košarac, Staša	M	1975	
ParlaMint-BA-en_2013-12-30-0	ParlaMint-BA_2013-12-30-0.u3863	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 35	2013-12-30	Unicameralism	6. mandat	-	Sjednica 35	2013-12-30	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2013-12-30-0	ParlaMint-BA_2013-12-30-0.u3864	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 35	2013-12-30	Unicameralism	6. mandat	-	Sjednica 35	2013-12-30	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	KošaracStaša	Košarac, Staša	M	1975	
