Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15343	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15344	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Regular	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	BelkićBeriz	Belkić, Beriz	M	1946	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15345	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15346	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BosićMladen	Bosić, Mladen	M	1961	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15347	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15348	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	ZaimovićUzunovićNermina	Zaimović-Uzunović, Nermina	F	1954	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15349	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15350	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Regular	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	BelkićBeriz	Belkić, Beriz	M	1946	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15351	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15352	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	KalabićDrago	Kalabić, Drago	M	1966	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15353	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
