Session,Date,Male,Female
ParlaMint-SI-en_2000-10-27-SDZ3-Redna-01-meta.tsv,2000-10-27,8,0
ParlaMint-SI-en_2000-11-10-SDZ3-Redna-01-meta.tsv,2000-11-10,6,1
ParlaMint-SI-en_2000-11-16-SDZ3-Izredna-01-meta.tsv,2000-11-16,13,1
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01-meta.tsv,2000-11-17,7,3
ParlaMint-SI-en_2000-11-21-SDZ3-Izredna-01-meta.tsv,2000-11-21,7,0
ParlaMint-SI-en_2000-11-30-SDZ3-Izredna-02-meta.tsv,2000-11-30,34,4
ParlaMint-SI-en_2000-12-19-SDZ3-Izredna-03-meta.tsv,2000-12-19,30,4
ParlaMint-SI-en_2000-12-20-SDZ3-Izredna-03-meta.tsv,2000-12-20,33,6
ParlaMint-SI-en_2000-12-21-SDZ3-Izredna-03-meta.tsv,2000-12-21,31,3
ParlaMint-SI-en_2001-01-11-SDZ3-Izredna-04-meta.tsv,2001-01-11,27,3
ParlaMint-SI-en_2001-01-25-SDZ3-Redna-02-meta.tsv,2001-01-25,44,8
ParlaMint-SI-en_2001-01-26-SDZ3-Redna-02-meta.tsv,2001-01-26,13,5
ParlaMint-SI-en_2001-01-30-SDZ3-Redna-02-meta.tsv,2001-01-30,13,3
ParlaMint-SI-en_2001-01-31-SDZ3-Redna-02-meta.tsv,2001-01-31,32,6
ParlaMint-SI-en_2001-02-01-SDZ3-Redna-02-meta.tsv,2001-02-01,30,5
ParlaMint-SI-en_2001-02-20-SDZ3-Redna-03-meta.tsv,2001-02-20,40,9
ParlaMint-SI-en_2001-02-21-SDZ3-Redna-03-meta.tsv,2001-02-21,36,2
ParlaMint-SI-en_2001-02-22-SDZ3-Redna-03-meta.tsv,2001-02-22,30,2
ParlaMint-SI-en_2001-02-23-SDZ3-Redna-03-meta.tsv,2001-02-23,19,6
ParlaMint-SI-en_2001-02-27-SDZ3-Redna-03-meta.tsv,2001-02-27,23,1
ParlaMint-SI-en_2001-02-28-SDZ3-Redna-03-meta.tsv,2001-02-28,23,8
ParlaMint-SI-en_2001-03-01-SDZ3-Redna-03-meta.tsv,2001-03-01,25,3
ParlaMint-SI-en_2001-03-02-SDZ3-Redna-03-meta.tsv,2001-03-02,22,3
ParlaMint-SI-en_2001-03-06-SDZ3-Izredna-05-meta.tsv,2001-03-06,4,0
ParlaMint-SI-en_2001-03-20-SDZ3-Redna-04-meta.tsv,2001-03-20,44,9
ParlaMint-SI-en_2001-03-21-SDZ3-Redna-04-meta.tsv,2001-03-21,13,4
ParlaMint-SI-en_2001-03-22-SDZ3-Redna-04-meta.tsv,2001-03-22,34,5
ParlaMint-SI-en_2001-03-23-SDZ3-Redna-04-meta.tsv,2001-03-23,15,3
ParlaMint-SI-en_2001-03-27-SDZ3-Redna-04-meta.tsv,2001-03-27,17,2
ParlaMint-SI-en_2001-03-28-SDZ3-Redna-04-meta.tsv,2001-03-28,31,8
ParlaMint-SI-en_2001-03-29-SDZ3-Redna-04-meta.tsv,2001-03-29,27,2
ParlaMint-SI-en_2001-03-30-SDZ3-Redna-04-meta.tsv,2001-03-30,17,7
ParlaMint-SI-en_2001-04-05-SDZ3-Redna-04-meta.tsv,2001-04-05,19,2
ParlaMint-SI-en_2001-04-10-SDZ3-Redna-04-meta.tsv,2001-04-10,22,4
ParlaMint-SI-en_2001-04-11-SDZ3-Redna-04-meta.tsv,2001-04-11,36,7
ParlaMint-SI-en_2001-04-12-SDZ3-Redna-04-meta.tsv,2001-04-12,29,4
ParlaMint-SI-en_2001-04-17-SDZ3-Redna-05-meta.tsv,2001-04-17,39,9
ParlaMint-SI-en_2001-04-18-SDZ3-Redna-05-meta.tsv,2001-04-18,37,7
ParlaMint-SI-en_2001-04-19-SDZ3-Redna-05-meta.tsv,2001-04-19,25,5
ParlaMint-SI-en_2001-04-20-SDZ3-Izredna-06-meta.tsv,2001-04-20,42,8
ParlaMint-SI-en_2001-04-24-SDZ3-Redna-05-meta.tsv,2001-04-24,16,4
ParlaMint-SI-en_2001-04-25-SDZ3-Redna-05-meta.tsv,2001-04-25,30,8
ParlaMint-SI-en_2001-04-26-SDZ3-Redna-05-meta.tsv,2001-04-26,27,4
ParlaMint-SI-en_2001-05-03-SDZ3-Izredna-07-meta.tsv,2001-05-03,28,5
ParlaMint-SI-en_2001-05-22-SDZ3-Redna-06-meta.tsv,2001-05-22,45,7
ParlaMint-SI-en_2001-05-23-SDZ3-Redna-06-meta.tsv,2001-05-23,26,6
ParlaMint-SI-en_2001-05-24-SDZ3-Redna-06-meta.tsv,2001-05-24,29,1
ParlaMint-SI-en_2001-05-25-SDZ3-Redna-06-meta.tsv,2001-05-25,20,5
ParlaMint-SI-en_2001-05-29-SDZ3-Redna-06-meta.tsv,2001-05-29,28,5
ParlaMint-SI-en_2001-05-30-SDZ3-Redna-06-meta.tsv,2001-05-30,27,6
ParlaMint-SI-en_2001-05-31-SDZ3-Redna-06-meta.tsv,2001-05-31,29,3
ParlaMint-SI-en_2001-06-01-SDZ3-Redna-06-meta.tsv,2001-06-01,18,3
ParlaMint-SI-en_2001-06-19-SDZ3-Redna-07-meta.tsv,2001-06-19,52,7
ParlaMint-SI-en_2001-06-20-SDZ3-Redna-07-meta.tsv,2001-06-20,21,4
ParlaMint-SI-en_2001-06-21-SDZ3-Redna-07-meta.tsv,2001-06-21,23,2
ParlaMint-SI-en_2001-06-22-SDZ3-Redna-07-meta.tsv,2001-06-22,12,3
ParlaMint-SI-en_2001-06-26-SDZ3-Redna-07-meta.tsv,2001-06-26,21,2
ParlaMint-SI-en_2001-06-27-SDZ3-Redna-07-meta.tsv,2001-06-27,22,1
ParlaMint-SI-en_2001-06-28-SDZ3-Redna-07-meta.tsv,2001-06-28,24,4
ParlaMint-SI-en_2001-06-29-SDZ3-Redna-07-meta.tsv,2001-06-29,30,2
ParlaMint-SI-en_2001-07-04-SDZ3-Redna-07-meta.tsv,2001-07-04,20,3
ParlaMint-SI-en_2001-07-05-SDZ3-Redna-07-meta.tsv,2001-07-05,27,6
ParlaMint-SI-en_2001-07-06-SDZ3-Redna-07-meta.tsv,2001-07-06,23,8
ParlaMint-SI-en_2001-07-17-SDZ3-Redna-07-meta.tsv,2001-07-17,26,7
ParlaMint-SI-en_2001-07-18-SDZ3-Redna-07-meta.tsv,2001-07-18,22,1
ParlaMint-SI-en_2001-07-19-SDZ3-Redna-07-meta.tsv,2001-07-19,30,1
ParlaMint-SI-en_2001-07-20-SDZ3-Izredna-08-meta.tsv,2001-07-20,31,5
ParlaMint-SI-en_2001-07-24-SDZ3-Izredna-08-meta.tsv,2001-07-24,29,4
ParlaMint-SI-en_2001-07-25-SDZ3-Izredna-08-meta.tsv,2001-07-25,25,6
ParlaMint-SI-en_2001-09-25-SDZ3-Redna-08-meta.tsv,2001-09-25,45,11
ParlaMint-SI-en_2001-09-26-SDZ3-Redna-08-meta.tsv,2001-09-26,35,5
ParlaMint-SI-en_2001-09-27-SDZ3-Redna-08-meta.tsv,2001-09-27,18,2
ParlaMint-SI-en_2001-09-28-SDZ3-Izredna-09-meta.tsv,2001-09-28,17,2
ParlaMint-SI-en_2001-09-28-SDZ3-Redna-08-meta.tsv,2001-09-28,18,5
ParlaMint-SI-en_2001-10-02-SDZ3-Redna-08-meta.tsv,2001-10-02,22,2
ParlaMint-SI-en_2001-10-03-SDZ3-Redna-08-meta.tsv,2001-10-03,36,4
ParlaMint-SI-en_2001-10-04-SDZ3-Redna-08-meta.tsv,2001-10-04,18,6
ParlaMint-SI-en_2001-10-05-SDZ3-Redna-08-meta.tsv,2001-10-05,17,4
ParlaMint-SI-en_2001-10-12-SDZ3-Izredna-10-meta.tsv,2001-10-12,31,1
ParlaMint-SI-en_2001-10-14-SDZ3-Redna-09-meta.tsv,2001-10-14,12,0
ParlaMint-SI-en_2001-10-16-SDZ3-Izredna-10-meta.tsv,2001-10-16,24,1
ParlaMint-SI-en_2001-10-23-SDZ3-Redna-09-meta.tsv,2001-10-23,42,7
ParlaMint-SI-en_2001-10-24-SDZ3-Redna-09-meta.tsv,2001-10-24,40,4
ParlaMint-SI-en_2001-10-25-SDZ3-Redna-09-meta.tsv,2001-10-25,35,5
ParlaMint-SI-en_2001-11-13-SDZ3-Redna-09-meta.tsv,2001-11-13,15,3
ParlaMint-SI-en_2001-11-20-SDZ3-Redna-10-meta.tsv,2001-11-20,48,6
ParlaMint-SI-en_2001-11-21-SDZ3-Redna-10-meta.tsv,2001-11-21,29,4
ParlaMint-SI-en_2001-11-22-SDZ3-Redna-10-meta.tsv,2001-11-22,28,3
ParlaMint-SI-en_2001-11-27-SDZ3-Izredna-11-meta.tsv,2001-11-27,23,2
ParlaMint-SI-en_2001-11-28-SDZ3-Izredna-11-meta.tsv,2001-11-28,24,2
ParlaMint-SI-en_2001-11-29-SDZ3-Izredna-11-meta.tsv,2001-11-29,39,9
ParlaMint-SI-en_2001-11-30-SDZ3-Izredna-11-meta.tsv,2001-11-30,27,3
ParlaMint-SI-en_2001-12-04-SDZ3-Izredna-11-meta.tsv,2001-12-04,11,2
ParlaMint-SI-en_2001-12-05-SDZ3-Izredna-11-meta.tsv,2001-12-05,13,3
ParlaMint-SI-en_2001-12-05-SDZ3-Redna-10-meta.tsv,2001-12-05,1,1
ParlaMint-SI-en_2001-12-18-SDZ3-Redna-11-meta.tsv,2001-12-18,46,7
ParlaMint-SI-en_2001-12-19-SDZ3-Redna-11-meta.tsv,2001-12-19,22,5
ParlaMint-SI-en_2001-12-20-SDZ3-Redna-11-meta.tsv,2001-12-20,33,4
