Session,Date,Coalition,Opposition
ParlaMint-SI-en_2000-10-27-SDZ3-Redna-01-meta.tsv,2000-10-27,0,0
ParlaMint-SI-en_2000-11-10-SDZ3-Redna-01-meta.tsv,2000-11-10,0,0
ParlaMint-SI-en_2000-11-16-SDZ3-Izredna-01-meta.tsv,2000-11-16,0,0
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01-meta.tsv,2000-11-17,0,0
ParlaMint-SI-en_2000-11-21-SDZ3-Izredna-01-meta.tsv,2000-11-21,0,0
ParlaMint-SI-en_2000-11-30-SDZ3-Izredna-02-meta.tsv,2000-11-30,14,8
ParlaMint-SI-en_2000-12-19-SDZ3-Izredna-03-meta.tsv,2000-12-19,19,5
ParlaMint-SI-en_2000-12-20-SDZ3-Izredna-03-meta.tsv,2000-12-20,20,8
ParlaMint-SI-en_2000-12-21-SDZ3-Izredna-03-meta.tsv,2000-12-21,21,8
ParlaMint-SI-en_2001-01-11-SDZ3-Izredna-04-meta.tsv,2001-01-11,18,3
ParlaMint-SI-en_2001-01-25-SDZ3-Redna-02-meta.tsv,2001-01-25,19,9
ParlaMint-SI-en_2001-01-26-SDZ3-Redna-02-meta.tsv,2001-01-26,8,1
ParlaMint-SI-en_2001-01-30-SDZ3-Redna-02-meta.tsv,2001-01-30,7,2
ParlaMint-SI-en_2001-01-31-SDZ3-Redna-02-meta.tsv,2001-01-31,21,6
ParlaMint-SI-en_2001-02-01-SDZ3-Redna-02-meta.tsv,2001-02-01,18,4
ParlaMint-SI-en_2001-02-20-SDZ3-Redna-03-meta.tsv,2001-02-20,17,10
ParlaMint-SI-en_2001-02-21-SDZ3-Redna-03-meta.tsv,2001-02-21,20,5
ParlaMint-SI-en_2001-02-22-SDZ3-Redna-03-meta.tsv,2001-02-22,21,4
ParlaMint-SI-en_2001-02-23-SDZ3-Redna-03-meta.tsv,2001-02-23,16,2
ParlaMint-SI-en_2001-02-27-SDZ3-Redna-03-meta.tsv,2001-02-27,16,3
ParlaMint-SI-en_2001-02-28-SDZ3-Redna-03-meta.tsv,2001-02-28,14,6
ParlaMint-SI-en_2001-03-01-SDZ3-Redna-03-meta.tsv,2001-03-01,17,8
ParlaMint-SI-en_2001-03-02-SDZ3-Redna-03-meta.tsv,2001-03-02,12,6
ParlaMint-SI-en_2001-03-06-SDZ3-Izredna-05-meta.tsv,2001-03-06,3,0
ParlaMint-SI-en_2001-03-20-SDZ3-Redna-04-meta.tsv,2001-03-20,18,10
ParlaMint-SI-en_2001-03-21-SDZ3-Redna-04-meta.tsv,2001-03-21,10,1
ParlaMint-SI-en_2001-03-22-SDZ3-Redna-04-meta.tsv,2001-03-22,22,7
ParlaMint-SI-en_2001-03-23-SDZ3-Redna-04-meta.tsv,2001-03-23,10,4
ParlaMint-SI-en_2001-03-27-SDZ3-Redna-04-meta.tsv,2001-03-27,11,6
ParlaMint-SI-en_2001-03-28-SDZ3-Redna-04-meta.tsv,2001-03-28,21,6
ParlaMint-SI-en_2001-03-29-SDZ3-Redna-04-meta.tsv,2001-03-29,15,6
ParlaMint-SI-en_2001-03-30-SDZ3-Redna-04-meta.tsv,2001-03-30,12,5
ParlaMint-SI-en_2001-04-05-SDZ3-Redna-04-meta.tsv,2001-04-05,9,2
ParlaMint-SI-en_2001-04-10-SDZ3-Redna-04-meta.tsv,2001-04-10,12,3
ParlaMint-SI-en_2001-04-11-SDZ3-Redna-04-meta.tsv,2001-04-11,25,6
ParlaMint-SI-en_2001-04-12-SDZ3-Redna-04-meta.tsv,2001-04-12,17,8
ParlaMint-SI-en_2001-04-17-SDZ3-Redna-05-meta.tsv,2001-04-17,19,10
ParlaMint-SI-en_2001-04-18-SDZ3-Redna-05-meta.tsv,2001-04-18,26,6
ParlaMint-SI-en_2001-04-19-SDZ3-Redna-05-meta.tsv,2001-04-19,16,7
ParlaMint-SI-en_2001-04-20-SDZ3-Izredna-06-meta.tsv,2001-04-20,28,10
ParlaMint-SI-en_2001-04-24-SDZ3-Redna-05-meta.tsv,2001-04-24,14,1
ParlaMint-SI-en_2001-04-25-SDZ3-Redna-05-meta.tsv,2001-04-25,19,4
ParlaMint-SI-en_2001-04-26-SDZ3-Redna-05-meta.tsv,2001-04-26,22,5
ParlaMint-SI-en_2001-05-03-SDZ3-Izredna-07-meta.tsv,2001-05-03,21,5
ParlaMint-SI-en_2001-05-22-SDZ3-Redna-06-meta.tsv,2001-05-22,18,8
ParlaMint-SI-en_2001-05-23-SDZ3-Redna-06-meta.tsv,2001-05-23,14,6
ParlaMint-SI-en_2001-05-24-SDZ3-Redna-06-meta.tsv,2001-05-24,17,6
ParlaMint-SI-en_2001-05-25-SDZ3-Redna-06-meta.tsv,2001-05-25,15,4
ParlaMint-SI-en_2001-05-29-SDZ3-Redna-06-meta.tsv,2001-05-29,23,3
ParlaMint-SI-en_2001-05-30-SDZ3-Redna-06-meta.tsv,2001-05-30,23,4
ParlaMint-SI-en_2001-05-31-SDZ3-Redna-06-meta.tsv,2001-05-31,18,6
ParlaMint-SI-en_2001-06-01-SDZ3-Redna-06-meta.tsv,2001-06-01,12,3
ParlaMint-SI-en_2001-06-19-SDZ3-Redna-07-meta.tsv,2001-06-19,22,9
ParlaMint-SI-en_2001-06-20-SDZ3-Redna-07-meta.tsv,2001-06-20,12,5
ParlaMint-SI-en_2001-06-21-SDZ3-Redna-07-meta.tsv,2001-06-21,12,3
ParlaMint-SI-en_2001-06-22-SDZ3-Redna-07-meta.tsv,2001-06-22,8,1
ParlaMint-SI-en_2001-06-26-SDZ3-Redna-07-meta.tsv,2001-06-26,10,3
ParlaMint-SI-en_2001-06-27-SDZ3-Redna-07-meta.tsv,2001-06-27,13,6
ParlaMint-SI-en_2001-06-28-SDZ3-Redna-07-meta.tsv,2001-06-28,17,2
ParlaMint-SI-en_2001-06-29-SDZ3-Redna-07-meta.tsv,2001-06-29,20,4
ParlaMint-SI-en_2001-07-04-SDZ3-Redna-07-meta.tsv,2001-07-04,14,3
ParlaMint-SI-en_2001-07-05-SDZ3-Redna-07-meta.tsv,2001-07-05,16,5
ParlaMint-SI-en_2001-07-06-SDZ3-Redna-07-meta.tsv,2001-07-06,20,3
ParlaMint-SI-en_2001-07-17-SDZ3-Redna-07-meta.tsv,2001-07-17,15,6
ParlaMint-SI-en_2001-07-18-SDZ3-Redna-07-meta.tsv,2001-07-18,8,6
ParlaMint-SI-en_2001-07-19-SDZ3-Redna-07-meta.tsv,2001-07-19,20,6
ParlaMint-SI-en_2001-07-20-SDZ3-Izredna-08-meta.tsv,2001-07-20,14,8
ParlaMint-SI-en_2001-07-24-SDZ3-Izredna-08-meta.tsv,2001-07-24,19,7
ParlaMint-SI-en_2001-07-25-SDZ3-Izredna-08-meta.tsv,2001-07-25,18,5
ParlaMint-SI-en_2001-09-25-SDZ3-Redna-08-meta.tsv,2001-09-25,21,10
ParlaMint-SI-en_2001-09-26-SDZ3-Redna-08-meta.tsv,2001-09-26,19,8
ParlaMint-SI-en_2001-09-27-SDZ3-Redna-08-meta.tsv,2001-09-27,7,8
ParlaMint-SI-en_2001-09-28-SDZ3-Izredna-09-meta.tsv,2001-09-28,10,5
ParlaMint-SI-en_2001-09-28-SDZ3-Redna-08-meta.tsv,2001-09-28,13,5
ParlaMint-SI-en_2001-10-02-SDZ3-Redna-08-meta.tsv,2001-10-02,12,6
ParlaMint-SI-en_2001-10-03-SDZ3-Redna-08-meta.tsv,2001-10-03,20,8
ParlaMint-SI-en_2001-10-04-SDZ3-Redna-08-meta.tsv,2001-10-04,13,6
ParlaMint-SI-en_2001-10-05-SDZ3-Redna-08-meta.tsv,2001-10-05,12,4
ParlaMint-SI-en_2001-10-12-SDZ3-Izredna-10-meta.tsv,2001-10-12,20,4
ParlaMint-SI-en_2001-10-14-SDZ3-Redna-09-meta.tsv,2001-10-14,7,4
ParlaMint-SI-en_2001-10-16-SDZ3-Izredna-10-meta.tsv,2001-10-16,8,6
ParlaMint-SI-en_2001-10-23-SDZ3-Redna-09-meta.tsv,2001-10-23,19,7
ParlaMint-SI-en_2001-10-24-SDZ3-Redna-09-meta.tsv,2001-10-24,24,5
ParlaMint-SI-en_2001-10-25-SDZ3-Redna-09-meta.tsv,2001-10-25,20,5
ParlaMint-SI-en_2001-11-13-SDZ3-Redna-09-meta.tsv,2001-11-13,10,5
ParlaMint-SI-en_2001-11-20-SDZ3-Redna-10-meta.tsv,2001-11-20,25,7
ParlaMint-SI-en_2001-11-21-SDZ3-Redna-10-meta.tsv,2001-11-21,16,5
ParlaMint-SI-en_2001-11-22-SDZ3-Redna-10-meta.tsv,2001-11-22,15,5
ParlaMint-SI-en_2001-11-27-SDZ3-Izredna-11-meta.tsv,2001-11-27,12,5
ParlaMint-SI-en_2001-11-28-SDZ3-Izredna-11-meta.tsv,2001-11-28,14,5
ParlaMint-SI-en_2001-11-29-SDZ3-Izredna-11-meta.tsv,2001-11-29,29,6
ParlaMint-SI-en_2001-11-30-SDZ3-Izredna-11-meta.tsv,2001-11-30,17,5
ParlaMint-SI-en_2001-12-04-SDZ3-Izredna-11-meta.tsv,2001-12-04,5,3
