Session,Date,Left,Centre,Right
ParlaMint-SI-en_2000-10-27-SDZ3-Redna-01-meta.tsv,2000-10-27,2,0,4
ParlaMint-SI-en_2000-11-10-SDZ3-Redna-01-meta.tsv,2000-11-10,4,0,3
ParlaMint-SI-en_2000-11-16-SDZ3-Izredna-01-meta.tsv,2000-11-16,8,0,5
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01-meta.tsv,2000-11-17,6,0,3
ParlaMint-SI-en_2000-11-21-SDZ3-Izredna-01-meta.tsv,2000-11-21,5,0,2
ParlaMint-SI-en_2000-11-30-SDZ3-Izredna-02-meta.tsv,2000-11-30,13,0,16
ParlaMint-SI-en_2000-12-19-SDZ3-Izredna-03-meta.tsv,2000-12-19,16,0,15
ParlaMint-SI-en_2000-12-20-SDZ3-Izredna-03-meta.tsv,2000-12-20,18,0,17
ParlaMint-SI-en_2000-12-21-SDZ3-Izredna-03-meta.tsv,2000-12-21,18,0,15
ParlaMint-SI-en_2001-01-11-SDZ3-Izredna-04-meta.tsv,2001-01-11,15,0,12
ParlaMint-SI-en_2001-01-25-SDZ3-Redna-02-meta.tsv,2001-01-25,16,0,22
ParlaMint-SI-en_2001-01-26-SDZ3-Redna-02-meta.tsv,2001-01-26,7,0,5
ParlaMint-SI-en_2001-01-30-SDZ3-Redna-02-meta.tsv,2001-01-30,6,0,7
ParlaMint-SI-en_2001-01-31-SDZ3-Redna-02-meta.tsv,2001-01-31,18,0,15
ParlaMint-SI-en_2001-02-01-SDZ3-Redna-02-meta.tsv,2001-02-01,15,0,14
ParlaMint-SI-en_2001-02-20-SDZ3-Redna-03-meta.tsv,2001-02-20,14,0,21
ParlaMint-SI-en_2001-02-21-SDZ3-Redna-03-meta.tsv,2001-02-21,17,0,16
ParlaMint-SI-en_2001-02-22-SDZ3-Redna-03-meta.tsv,2001-02-22,16,0,14
ParlaMint-SI-en_2001-02-23-SDZ3-Redna-03-meta.tsv,2001-02-23,13,0,9
ParlaMint-SI-en_2001-02-27-SDZ3-Redna-03-meta.tsv,2001-02-27,14,0,7
ParlaMint-SI-en_2001-02-28-SDZ3-Redna-03-meta.tsv,2001-02-28,12,0,12
ParlaMint-SI-en_2001-03-01-SDZ3-Redna-03-meta.tsv,2001-03-01,14,0,12
ParlaMint-SI-en_2001-03-02-SDZ3-Redna-03-meta.tsv,2001-03-02,12,0,9
ParlaMint-SI-en_2001-03-06-SDZ3-Izredna-05-meta.tsv,2001-03-06,3,0,1
ParlaMint-SI-en_2001-03-20-SDZ3-Redna-04-meta.tsv,2001-03-20,16,0,21
ParlaMint-SI-en_2001-03-21-SDZ3-Redna-04-meta.tsv,2001-03-21,9,0,6
ParlaMint-SI-en_2001-03-22-SDZ3-Redna-04-meta.tsv,2001-03-22,19,0,15
ParlaMint-SI-en_2001-03-23-SDZ3-Redna-04-meta.tsv,2001-03-23,8,0,7
ParlaMint-SI-en_2001-03-27-SDZ3-Redna-04-meta.tsv,2001-03-27,8,0,11
ParlaMint-SI-en_2001-03-28-SDZ3-Redna-04-meta.tsv,2001-03-28,19,0,15
ParlaMint-SI-en_2001-03-29-SDZ3-Redna-04-meta.tsv,2001-03-29,12,0,14
ParlaMint-SI-en_2001-03-30-SDZ3-Redna-04-meta.tsv,2001-03-30,9,0,12
ParlaMint-SI-en_2001-04-05-SDZ3-Redna-04-meta.tsv,2001-04-05,7,0,9
ParlaMint-SI-en_2001-04-10-SDZ3-Redna-04-meta.tsv,2001-04-10,9,0,9
ParlaMint-SI-en_2001-04-11-SDZ3-Redna-04-meta.tsv,2001-04-11,21,0,17
ParlaMint-SI-en_2001-04-12-SDZ3-Redna-04-meta.tsv,2001-04-12,14,0,15
ParlaMint-SI-en_2001-04-17-SDZ3-Redna-05-meta.tsv,2001-04-17,16,0,19
ParlaMint-SI-en_2001-04-18-SDZ3-Redna-05-meta.tsv,2001-04-18,21,0,18
ParlaMint-SI-en_2001-04-19-SDZ3-Redna-05-meta.tsv,2001-04-19,12,0,15
ParlaMint-SI-en_2001-04-20-SDZ3-Izredna-06-meta.tsv,2001-04-20,22,0,23
ParlaMint-SI-en_2001-04-24-SDZ3-Redna-05-meta.tsv,2001-04-24,12,0,5
ParlaMint-SI-en_2001-04-25-SDZ3-Redna-05-meta.tsv,2001-04-25,16,0,12
ParlaMint-SI-en_2001-04-26-SDZ3-Redna-05-meta.tsv,2001-04-26,21,0,9
ParlaMint-SI-en_2001-05-03-SDZ3-Izredna-07-meta.tsv,2001-05-03,18,0,12
ParlaMint-SI-en_2001-05-22-SDZ3-Redna-06-meta.tsv,2001-05-22,15,0,20
ParlaMint-SI-en_2001-05-23-SDZ3-Redna-06-meta.tsv,2001-05-23,11,0,15
ParlaMint-SI-en_2001-05-24-SDZ3-Redna-06-meta.tsv,2001-05-24,15,0,12
ParlaMint-SI-en_2001-05-25-SDZ3-Redna-06-meta.tsv,2001-05-25,13,0,9
ParlaMint-SI-en_2001-05-29-SDZ3-Redna-06-meta.tsv,2001-05-29,21,0,8
ParlaMint-SI-en_2001-05-30-SDZ3-Redna-06-meta.tsv,2001-05-30,20,0,9
ParlaMint-SI-en_2001-05-31-SDZ3-Redna-06-meta.tsv,2001-05-31,15,0,13
ParlaMint-SI-en_2001-06-01-SDZ3-Redna-06-meta.tsv,2001-06-01,10,0,9
ParlaMint-SI-en_2001-06-19-SDZ3-Redna-07-meta.tsv,2001-06-19,19,0,20
