Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2015-05-06-ps-3	ParlaMint-FI_2015-05-06-ps-3.u1	Minutes of the Finnish Parliament's plenary session 3/2015, 2015-05-06	2015-05-06	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 3	2015-05-06	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Opposition	Centre	JuhaSipilä	Sipilä, Juha	M	1961	
ParlaMint-FI-en_2015-05-06-ps-3	ParlaMint-FI_2015-05-06-ps-3.u2	Minutes of the Finnish Parliament's plenary session 3/2015, 2015-05-06	2015-05-06	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 3	2015-05-06	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Opposition	Centre	JuhaSipilä	Sipilä, Juha	M	1961	
ParlaMint-FI-en_2015-05-06-ps-3	ParlaMint-FI_2015-05-06-ps-3.u3	Minutes of the Finnish Parliament's plenary session 3/2015, 2015-05-06	2015-05-06	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 3	2015-05-06	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Opposition	Centre	JuhaSipilä	Sipilä, Juha	M	1961	
