Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2006-06-20-0	ParlaMint-BA_2006-06-20-0.u6134	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 59	2006-06-20	Unicameralism	4. mandat	-	Sjednica 59	2006-06-20	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	MilojevićGoran	Milojević, Goran	M	1960	
ParlaMint-BA-en_2006-06-20-0	ParlaMint-BA_2006-06-20-0.u6136	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 59	2006-06-20	Unicameralism	4. mandat	-	Sjednica 59	2006-06-20	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	LimovTomislav	Limov, Tomislav	M	1954	
ParlaMint-BA-en_2006-06-20-0	ParlaMint-BA_2006-06-20-0.u6137	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 59	2006-06-20	Unicameralism	4. mandat	-	Sjednica 59	2006-06-20	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	MilojevićGoran	Milojević, Goran	M	1960	
ParlaMint-BA-en_2006-06-20-0	ParlaMint-BA_2006-06-20-0.u6138	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 59	2006-06-20	Unicameralism	4. mandat	-	Sjednica 59	2006-06-20	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	StojanovićRuža	Stojanović, Ruža	F	1956	
ParlaMint-BA-en_2006-06-20-0	ParlaMint-BA_2006-06-20-0.u6139	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 59	2006-06-20	Unicameralism	4. mandat	-	Sjednica 59	2006-06-20	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	MilojevićGoran	Milojević, Goran	M	1960	
ParlaMint-BA-en_2006-06-20-0	ParlaMint-BA_2006-06-20-0.u6140	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 59	2006-06-20	Unicameralism	4. mandat	-	Sjednica 59	2006-06-20	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	LimovTomislav	Limov, Tomislav	M	1954	
ParlaMint-BA-en_2006-06-20-0	ParlaMint-BA_2006-06-20-0.u6141	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 59	2006-06-20	Unicameralism	4. mandat	-	Sjednica 59	2006-06-20	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	MilojevićGoran	Milojević, Goran	M	1960	
