Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2018-10-16-CD181016	ParlaMint-ES_2018-10-16-CD181016.u1	Plenary session 148 (2018-10-16)	2018-10-16	Lower house	Legislatura XII	Sesión plenaria núm. 148	-	2018-10-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-16-CD181016	ParlaMint-ES_2018-10-16-CD181016.u2	Plenary session 148 (2018-10-16)	2018-10-16	Lower house	Legislatura XII	Sesión plenaria núm. 148	-	2018-10-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-16-CD181016	ParlaMint-ES_2018-10-16-CD181016.u3	Plenary session 148 (2018-10-16)	2018-10-16	Lower house	Legislatura XII	Sesión plenaria núm. 148	-	2018-10-16	-	Reference	English	Regular	MP	notMinister	PsdeG-PSOE	Partido dos Socialistas de Galicia - Partido Socialista Obrero Español	Opposition	-	PilarCancelaRodríguez	Cancela Rodríguez, Pilar	F	1967	
ParlaMint-ES-en_2018-10-16-CD181016	ParlaMint-ES_2018-10-16-CD181016.u4	Plenary session 148 (2018-10-16)	2018-10-16	Lower house	Legislatura XII	Sesión plenaria núm. 148	-	2018-10-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-16-CD181016	ParlaMint-ES_2018-10-16-CD181016.u5	Plenary session 148 (2018-10-16)	2018-10-16	Lower house	Legislatura XII	Sesión plenaria núm. 148	-	2018-10-16	-	Reference	English	Regular	MP	notMinister	EH Bildu	Euskal Herria Bildu	Opposition	Centre-left to left	OskarMatuteGarcíaDeJalón	Matute García De Jalón, Oskar	M	1972	
ParlaMint-ES-en_2018-10-16-CD181016	ParlaMint-ES_2018-10-16-CD181016.u6	Plenary session 148 (2018-10-16)	2018-10-16	Lower house	Legislatura XII	Sesión plenaria núm. 148	-	2018-10-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-16-CD181016	ParlaMint-ES_2018-10-16-CD181016.u7	Plenary session 148 (2018-10-16)	2018-10-16	Lower house	Legislatura XII	Sesión plenaria núm. 148	-	2018-10-16	-	Reference	English	Regular	MP	notMinister	C-P-EUPV	Compromís - Podemos - Esquerra Unida del País Valencià	Opposition	-	MartaSorlíFresquet	Sorlí Fresquet, Marta	F	1986	
ParlaMint-ES-en_2018-10-16-CD181016	ParlaMint-ES_2018-10-16-CD181016.u8	Plenary session 148 (2018-10-16)	2018-10-16	Lower house	Legislatura XII	Sesión plenaria núm. 148	-	2018-10-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-16-CD181016	ParlaMint-ES_2018-10-16-CD181016.u9	Plenary session 148 (2018-10-16)	2018-10-16	Lower house	Legislatura XII	Sesión plenaria núm. 148	-	2018-10-16	-	Reference	English	Regular	MP	notMinister	CDC	Convergècia Democràtica de Catalunya	Opposition	Centre-right	CarlesCampuzanoiCanadés	Campuzano i Canadés, Carles	M	1964	
ParlaMint-ES-en_2018-10-16-CD181016	ParlaMint-ES_2018-10-16-CD181016.u10	Plenary session 148 (2018-10-16)	2018-10-16	Lower house	Legislatura XII	Sesión plenaria núm. 148	-	2018-10-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-16-CD181016	ParlaMint-ES_2018-10-16-CD181016.u11	Plenary session 148 (2018-10-16)	2018-10-16	Lower house	Legislatura XII	Sesión plenaria núm. 148	-	2018-10-16	-	Reference	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	ÍñigoBarandiaranBenito	Barandiaran Benito, Íñigo	M	1959	
ParlaMint-ES-en_2018-10-16-CD181016	ParlaMint-ES_2018-10-16-CD181016.u12	Plenary session 148 (2018-10-16)	2018-10-16	Lower house	Legislatura XII	Sesión plenaria núm. 148	-	2018-10-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
