Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u1	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u2	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Regular	MP	Minister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	DoloresDelgadoGarcía	Delgado García, Dolores	F	1962	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u3	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u4	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Regular	MP	Minister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	DoloresDelgadoGarcía	Delgado García, Dolores	F	1962	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u5	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u6	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Regular	MP	Minister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	DoloresDelgadoGarcía	Delgado García, Dolores	F	1962	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u7	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u8	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Regular	MP	Minister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	DoloresDelgadoGarcía	Delgado García, Dolores	F	1962	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u9	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u10	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Regular	MP	Minister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	DoloresDelgadoGarcía	Delgado García, Dolores	F	1962	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u11	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u12	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Regular	MP	Minister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	DoloresDelgadoGarcía	Delgado García, Dolores	F	1962	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u13	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u14	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Regular	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Coalition	Centre-right to right	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u15	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	MicaelaNavarroGarzón	Navarro Garzón, Micaela	F	1956	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u16	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Regular	MP	notMinister	CDC	Convergècia Democràtica de Catalunya	Opposition	Centre-right	LourdesCiuróiBuldó	Ciuró i Buldó, Lourdes	F	1971	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u17	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	MicaelaNavarroGarzón	Navarro Garzón, Micaela	F	1956	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u18	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	MikelLegardaUriarte	Legarda Uriarte, Mikel	M	1956	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u19	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	MicaelaNavarroGarzón	Navarro Garzón, Micaela	F	1956	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u20	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Regular	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centre-left to left	CarolinaTelecheaiLozano	Telechea i Lozano, Carolina	F	1981	
ParlaMint-ES-en_2018-09-06-CD180906	ParlaMint-ES_2018-09-06-CD180906.u21	Plenary session 137 (2018-09-06)	2018-09-06	Lower house	Legislatura XII	Sesión plenaria núm. 137	-	2018-09-06	-	Reference	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	MicaelaNavarroGarzón	Navarro Garzón, Micaela	F	1956	
