Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u1	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u2	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u3	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u4	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	EC-UP	En Comú Podem - Unidas Podemos	Opposition	Left	YolandaDíazPérez	Díaz Pérez, Yolanda	F	1971	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u5	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u6	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	C-P-EUPV	Compromís - Podemos - Esquerra Unida del País Valencià	Opposition	-	IgnasiCandelaSerna	Candela Serna, Ignasi	M	1987	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u7	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u8	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	ÍñigoBarandiaranBenito	Barandiaran Benito, Íñigo	M	1959	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u9	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u10	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centre-left to left	JordiSalvadoriDuch	Salvador i Duch, Jordi	M	1964	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u11	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u12	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	SergioDelCampoEstaún	Del Campo Estaún, Sergio	M	1981	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u13	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u14	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	PSdG-PSOE	Partido dos Socialistas de Galicia - Partido Socialista Obrero Español	Opposition	Centre-left	MaríaDelRocíoDeFrutosMadrazo	De Frutos Madrazo, María Del Rocío	F	1967	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u15	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u16	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	JoaquínAlbaladejoMartínez	Albaladejo Martínez, Joaquín	M	1973	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u17	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u18	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u19	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	AnaMaríaMadrazoDíaz	Madrazo Díaz, Ana María	F	1961	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u20	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u21	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Coalition	Centre-right to right	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u22	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u23	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	Més Compromís	Més Compromís	Opposition	Left	JoanBaldovíRoda	Baldoví Roda, Joan	M	1958	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u24	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u25	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	JxCat-Junts	Junts per Catalunya	Opposition	Centre-right	FerranBelAccensi	Bel Accensi, Ferran	M	1965	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u26	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u27	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centre-left to left	JoanCapdevilaiEsteve	Capdevila i Esteve, Joan	M	1965	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u28	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u29	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	FranciscoDelaTorreDíaz	De la Torre Díaz, Francisco	M	1972	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u30	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	MicaelaNavarroGarzón	Navarro Garzón, Micaela	F	1956	
ParlaMint-ES-en_2018-05-29-CD180529	ParlaMint-ES_2018-05-29-CD180529.u31	Plenary session 119 (2018-05-29)	2018-05-29	Lower house	Legislatura XII	Sesión plenaria núm. 119	-	2018-05-29	-	Reference	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	FranciscoDelaTorreDíaz	De la Torre Díaz, Francisco	M	1972	
