Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2018-07-04-CD180704	ParlaMint-ES_2018-07-04-CD180704.u1	Plenary session 130 (2018-07-04)	2018-07-04	Lower house	Legislatura XII	Sesión plenaria núm. 130extraordinaria extraordinaria	-	2018-07-04	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-07-04-CD180704	ParlaMint-ES_2018-07-04-CD180704.u2	Plenary session 130 (2018-07-04)	2018-07-04	Lower house	Legislatura XII	Sesión plenaria núm. 130extraordinaria extraordinaria	-	2018-07-04	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-07-04-CD180704	ParlaMint-ES_2018-07-04-CD180704.u3	Plenary session 130 (2018-07-04)	2018-07-04	Lower house	Legislatura XII	Sesión plenaria núm. 130extraordinaria extraordinaria	-	2018-07-04	-	Reference	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	JuanCarlosGirautaVidal	Girauta Vidal, Juan Carlos	M	1961	
ParlaMint-ES-en_2018-07-04-CD180704	ParlaMint-ES_2018-07-04-CD180704.u4	Plenary session 130 (2018-07-04)	2018-07-04	Lower house	Legislatura XII	Sesión plenaria núm. 130extraordinaria extraordinaria	-	2018-07-04	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-07-04-CD180704	ParlaMint-ES_2018-07-04-CD180704.u5	Plenary session 130 (2018-07-04)	2018-07-04	Lower house	Legislatura XII	Sesión plenaria núm. 130extraordinaria extraordinaria	-	2018-07-04	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-07-04-CD180704	ParlaMint-ES_2018-07-04-CD180704.u6	Plenary session 130 (2018-07-04)	2018-07-04	Lower house	Legislatura XII	Sesión plenaria núm. 130extraordinaria extraordinaria	-	2018-07-04	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-07-04-CD180704	ParlaMint-ES_2018-07-04-CD180704.u7	Plenary session 130 (2018-07-04)	2018-07-04	Lower house	Legislatura XII	Sesión plenaria núm. 130extraordinaria extraordinaria	-	2018-07-04	-	Reference	English	Regular	MP	Minister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	CarmenCalvoPoyato	Calvo Poyato, Carmen	F	1957	
ParlaMint-ES-en_2018-07-04-CD180704	ParlaMint-ES_2018-07-04-CD180704.u8	Plenary session 130 (2018-07-04)	2018-07-04	Lower house	Legislatura XII	Sesión plenaria núm. 130extraordinaria extraordinaria	-	2018-07-04	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-07-04-CD180704	ParlaMint-ES_2018-07-04-CD180704.u9	Plenary session 130 (2018-07-04)	2018-07-04	Lower house	Legislatura XII	Sesión plenaria núm. 130extraordinaria extraordinaria	-	2018-07-04	-	Reference	English	Regular	MP	notMinister	PP-PAR	Partido Popular - Partido Aragonés	Coalition	Centre-right to right	RamónMorenoBustos	Moreno Bustos, Ramón	M	1966	
ParlaMint-ES-en_2018-07-04-CD180704	ParlaMint-ES_2018-07-04-CD180704.u10	Plenary session 130 (2018-07-04)	2018-07-04	Lower house	Legislatura XII	Sesión plenaria núm. 130extraordinaria extraordinaria	-	2018-07-04	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-07-04-CD180704	ParlaMint-ES_2018-07-04-CD180704.u11	Plenary session 130 (2018-07-04)	2018-07-04	Lower house	Legislatura XII	Sesión plenaria núm. 130extraordinaria extraordinaria	-	2018-07-04	-	Reference	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	JoséMiguelCamachoSánchez	Camacho Sánchez, José Miguel	M	1959	
ParlaMint-ES-en_2018-07-04-CD180704	ParlaMint-ES_2018-07-04-CD180704.u12	Plenary session 130 (2018-07-04)	2018-07-04	Lower house	Legislatura XII	Sesión plenaria núm. 130extraordinaria extraordinaria	-	2018-07-04	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
