Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u1	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u2	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u3	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u4	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Regular	MP	notMinister	UP	Unidas Podemos	Opposition	Left	AlbertoGarzónEspinosa	Garzón Espinosa, Alberto	M	1985	
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u5	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u6	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Regular	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Coalition	Centre-right to right	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u7	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u8	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Regular	MP	notMinister	UPN-PP	Unión Pueblo Navarro - Partido Popular	Coalition	Centre-right to right	CarlosCasimiroSalvadorArmendáriz	Salvador Armendáriz, Carlos Casimiro	M	1966	
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u9	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u10	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Regular	MP	notMinister	C-P-EUPV	Compromís - Podemos - Esquerra Unida del País Valencià	Opposition	-	EnricBatalleriRuiz	Bataller i Ruiz, Enric	M	1965	
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u11	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u12	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Regular	MP	notMinister	CDC	Convergècia Democràtica de Catalunya	Opposition	Centre-right	LourdesCiuróiBuldó	Ciuró i Buldó, Lourdes	F	1971	
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u13	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u14	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	MikelLegardaUriarte	Legarda Uriarte, Mikel	M	1956	
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u15	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u16	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Regular	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centre-left to left	CarolinaTelecheaiLozano	Telechea i Lozano, Carolina	F	1981	
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u17	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-10-23-CD181023	ParlaMint-ES_2018-10-23-CD181023.u18	Plenary session 151 (2018-10-23)	2018-10-23	Lower house	Legislatura XII	Sesión plenaria núm. 151	-	2018-10-23	-	Reference	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	JoséIgnacioPrendesPrendes	Prendes Prendes, José Ignacio	M	1965	
