Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	SantangeloVincenzo	Santangelo, Vincenzo	M	1972	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	SantangeloVincenzo	Santangelo, Vincenzo	M	1972	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	SantangeloVincenzo	Santangelo, Vincenzo	M	1972	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	SantangeloVincenzo	Santangelo, Vincenzo	M	1972	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Guest	MP	notMinister	-	-	-	-	GentiloniSilveriPaolo	Gentiloni Silveri, Paolo	M	1954	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2016-12-13-LEG17-Senato-sed-733	ParlaMint-IT_2016-12-13-LEG17-Senato-sed-733.ana.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 733, Day (2016-12-13)	2016-12-13	Upper house	17 Legislatura	-	-	733 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
