Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-PV-en_2020-08-03	ParlaMint-ES-PV_2020-08-03.u0	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-08-03	2020-08-03	Unicameralism	Legegintzaldia XII	Osoko Bilkura 1-2	-	2020-08-03	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2020-08-03	ParlaMint-ES-PV_2020-08-03.u1	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-08-03	2020-08-03	Unicameralism	Legegintzaldia XII	Osoko Bilkura 1-2	-	2020-08-03	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	IturrateIbarra	Iturrate Ibarra, Iñigo	M	1963	
ParlaMint-ES-PV-en_2020-08-03	ParlaMint-ES-PV_2020-08-03.u2	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-08-03	2020-08-03	Unicameralism	Legegintzaldia XII	Osoko Bilkura 1-2	-	2020-08-03	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2020-08-03	ParlaMint-ES-PV_2020-08-03.u3	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-08-03	2020-08-03	Unicameralism	Legegintzaldia XII	Osoko Bilkura 1-2	-	2020-08-03	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	IturrateIbarra	Iturrate Ibarra, Iñigo	M	1963	
ParlaMint-ES-PV-en_2020-08-03	ParlaMint-ES-PV_2020-08-03.u4	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-08-03	2020-08-03	Unicameralism	Legegintzaldia XII	Osoko Bilkura 1-2	-	2020-08-03	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2020-08-03	ParlaMint-ES-PV_2020-08-03.u5	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-08-03	2020-08-03	Unicameralism	Legegintzaldia XII	Osoko Bilkura 1-2	-	2020-08-03	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	SusoPérezDeArenaza	Suso Pérez de Arenaza, José Antonio	M	1961	
ParlaMint-ES-PV-en_2020-08-03	ParlaMint-ES-PV_2020-08-03.u6	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-08-03	2020-08-03	Unicameralism	Legegintzaldia XII	Osoko Bilkura 1-2	-	2020-08-03	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	SusoPérezDeArenaza	Suso Pérez de Arenaza, José Antonio	M	1961	
ParlaMint-ES-PV-en_2020-08-03	ParlaMint-ES-PV_2020-08-03.u7	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-08-03	2020-08-03	Unicameralism	Legegintzaldia XII	Osoko Bilkura 1-2	-	2020-08-03	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	SusoPérezDeArenaza	Suso Pérez de Arenaza, José Antonio	M	1961	
ParlaMint-ES-PV-en_2020-08-03	ParlaMint-ES-PV_2020-08-03.u8	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-08-03	2020-08-03	Unicameralism	Legegintzaldia XII	Osoko Bilkura 1-2	-	2020-08-03	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	SusoPérezDeArenaza	Suso Pérez de Arenaza, José Antonio	M	1961	
ParlaMint-ES-PV-en_2020-08-03	ParlaMint-ES-PV_2020-08-03.u9	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-08-03	2020-08-03	Unicameralism	Legegintzaldia XII	Osoko Bilkura 1-2	-	2020-08-03	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	AguirreArizmendi	Aguirre Arizmendi, Iñaki	M	1957	
ParlaMint-ES-PV-en_2020-08-03	ParlaMint-ES-PV_2020-08-03.u10	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-08-03	2020-08-03	Unicameralism	Legegintzaldia XII	Osoko Bilkura 1-2	-	2020-08-03	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	SusoPérezDeArenaza	Suso Pérez de Arenaza, José Antonio	M	1961	
