Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2020-10-16-ps-132	ParlaMint-FI_2020-10-16-ps-132.u1	Minutes of the Finnish Parliament's plenary session 132/2020, 2020-10-16	2020-10-16	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 132	2020-10-16	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2020-10-16-ps-132	ParlaMint-FI_2020-10-16-ps-132.u2	Minutes of the Finnish Parliament's plenary session 132/2020, 2020-10-16	2020-10-16	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 132	2020-10-16	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2020-10-16-ps-132	ParlaMint-FI_2020-10-16-ps-132.u3	Minutes of the Finnish Parliament's plenary session 132/2020, 2020-10-16	2020-10-16	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 132	2020-10-16	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2020-10-16-ps-132	ParlaMint-FI_2020-10-16-ps-132.u4	Minutes of the Finnish Parliament's plenary session 132/2020, 2020-10-16	2020-10-16	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 132	2020-10-16	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2020-10-16-ps-132	ParlaMint-FI_2020-10-16-ps-132.u5	Minutes of the Finnish Parliament's plenary session 132/2020, 2020-10-16	2020-10-16	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 132	2020-10-16	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2020-10-16-ps-132	ParlaMint-FI_2020-10-16-ps-132.u6	Minutes of the Finnish Parliament's plenary session 132/2020, 2020-10-16	2020-10-16	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 132	2020-10-16	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2020-10-16-ps-132	ParlaMint-FI_2020-10-16-ps-132.u7	Minutes of the Finnish Parliament's plenary session 132/2020, 2020-10-16	2020-10-16	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 132	2020-10-16	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	PauliKiuru	Kiuru, Pauli	M	1962	
ParlaMint-FI-en_2020-10-16-ps-132	ParlaMint-FI_2020-10-16-ps-132.u8	Minutes of the Finnish Parliament's plenary session 132/2020, 2020-10-16	2020-10-16	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 132	2020-10-16	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2020-10-16-ps-132	ParlaMint-FI_2020-10-16-ps-132.u9	Minutes of the Finnish Parliament's plenary session 132/2020, 2020-10-16	2020-10-16	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 132	2020-10-16	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	PauliKiuru	Kiuru, Pauli	M	1962	
ParlaMint-FI-en_2020-10-16-ps-132	ParlaMint-FI_2020-10-16-ps-132.u10	Minutes of the Finnish Parliament's plenary session 132/2020, 2020-10-16	2020-10-16	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 132	2020-10-16	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	TimoHeinonen	Heinonen, Timo	M	1975	
ParlaMint-FI-en_2020-10-16-ps-132	ParlaMint-FI_2020-10-16-ps-132.u11	Minutes of the Finnish Parliament's plenary session 132/2020, 2020-10-16	2020-10-16	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 132	2020-10-16	-	COVID	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	PiaViitanen	Viitanen, Pia	F	1967	
ParlaMint-FI-en_2020-10-16-ps-132	ParlaMint-FI_2020-10-16-ps-132.u12	Minutes of the Finnish Parliament's plenary session 132/2020, 2020-10-16	2020-10-16	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 132	2020-10-16	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	PauliKiuru	Kiuru, Pauli	M	1962	
