Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2020-09-11-ps-111	ParlaMint-FI_2020-09-11-ps-111.u1	Minutes of the Finnish Parliament's plenary session 111/2020, 2020-09-11	2020-09-11	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 111	2020-09-11	-	COVID	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2020-09-11-ps-111	ParlaMint-FI_2020-09-11-ps-111.u2	Minutes of the Finnish Parliament's plenary session 111/2020, 2020-09-11	2020-09-11	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 111	2020-09-11	-	COVID	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	PäiviRäsänen	Räsänen, Päivi	F	1959	
ParlaMint-FI-en_2020-09-11-ps-111	ParlaMint-FI_2020-09-11-ps-111.u3	Minutes of the Finnish Parliament's plenary session 111/2020, 2020-09-11	2020-09-11	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 111	2020-09-11	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	JouniOvaska	Ovaska, Jouni	M	1986	
ParlaMint-FI-en_2020-09-11-ps-111	ParlaMint-FI_2020-09-11-ps-111.u4	Minutes of the Finnish Parliament's plenary session 111/2020, 2020-09-11	2020-09-11	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 111	2020-09-11	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	TimoHeinonen	Heinonen, Timo	M	1975	
ParlaMint-FI-en_2020-09-11-ps-111	ParlaMint-FI_2020-09-11-ps-111.u5	Minutes of the Finnish Parliament's plenary session 111/2020, 2020-09-11	2020-09-11	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 111	2020-09-11	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	ArtoPirttilahti	Pirttilahti, Arto	M	1963	
ParlaMint-FI-en_2020-09-11-ps-111	ParlaMint-FI_2020-09-11-ps-111.u6	Minutes of the Finnish Parliament's plenary session 111/2020, 2020-09-11	2020-09-11	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 111	2020-09-11	-	COVID	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	SariEssayah	Essayah, Sari	F	1967	
ParlaMint-FI-en_2020-09-11-ps-111	ParlaMint-FI_2020-09-11-ps-111.u7	Minutes of the Finnish Parliament's plenary session 111/2020, 2020-09-11	2020-09-11	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 111	2020-09-11	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	HannuHoskonen	Hoskonen, Hannu	M	1957	
ParlaMint-FI-en_2020-09-11-ps-111	ParlaMint-FI_2020-09-11-ps-111.u8	Minutes of the Finnish Parliament's plenary session 111/2020, 2020-09-11	2020-09-11	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 111	2020-09-11	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	TimoHeinonen	Heinonen, Timo	M	1975	
ParlaMint-FI-en_2020-09-11-ps-111	ParlaMint-FI_2020-09-11-ps-111.u9	Minutes of the Finnish Parliament's plenary session 111/2020, 2020-09-11	2020-09-11	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 111	2020-09-11	-	COVID	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2020-09-11-ps-111	ParlaMint-FI_2020-09-11-ps-111.u10	Minutes of the Finnish Parliament's plenary session 111/2020, 2020-09-11	2020-09-11	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 111	2020-09-11	-	COVID	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	KimmoKiljunen	Kiljunen, Kimmo	M	1951	
ParlaMint-FI-en_2020-09-11-ps-111	ParlaMint-FI_2020-09-11-ps-111.u11	Minutes of the Finnish Parliament's plenary session 111/2020, 2020-09-11	2020-09-11	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 111	2020-09-11	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	TimoHeinonen	Heinonen, Timo	M	1975	
