Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2020-03-27-ps-37	ParlaMint-FI_2020-03-27-ps-37.u1	Minutes of the Finnish Parliament's plenary session 37/2020, 2020-03-27	2020-03-27	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 37	2020-03-27	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
ParlaMint-FI-en_2020-03-27-ps-37	ParlaMint-FI_2020-03-27-ps-37.u2	Minutes of the Finnish Parliament's plenary session 37/2020, 2020-03-27	2020-03-27	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 37	2020-03-27	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
ParlaMint-FI-en_2020-03-27-ps-37	ParlaMint-FI_2020-03-27-ps-37.u3	Minutes of the Finnish Parliament's plenary session 37/2020, 2020-03-27	2020-03-27	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 37	2020-03-27	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
