Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2020-09-25-ps-119	ParlaMint-FI_2020-09-25-ps-119.u1	Minutes of the Finnish Parliament's plenary session 119/2020, 2020-09-25	2020-09-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 119	2020-09-25	-	COVID	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2020-09-25-ps-119	ParlaMint-FI_2020-09-25-ps-119.u2	Minutes of the Finnish Parliament's plenary session 119/2020, 2020-09-25	2020-09-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 119	2020-09-25	-	COVID	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2020-09-25-ps-119	ParlaMint-FI_2020-09-25-ps-119.u3	Minutes of the Finnish Parliament's plenary session 119/2020, 2020-09-25	2020-09-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 119	2020-09-25	-	COVID	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TarjaFilatov	Filatov, Tarja	F	1963	
ParlaMint-FI-en_2020-09-25-ps-119	ParlaMint-FI_2020-09-25-ps-119.u4	Minutes of the Finnish Parliament's plenary session 119/2020, 2020-09-25	2020-09-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 119	2020-09-25	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	JaanaPelkonen	Pelkonen, Jaana	F	1977	
ParlaMint-FI-en_2020-09-25-ps-119	ParlaMint-FI_2020-09-25-ps-119.u5	Minutes of the Finnish Parliament's plenary session 119/2020, 2020-09-25	2020-09-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 119	2020-09-25	-	COVID	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2020-09-25-ps-119	ParlaMint-FI_2020-09-25-ps-119.u6	Minutes of the Finnish Parliament's plenary session 119/2020, 2020-09-25	2020-09-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 119	2020-09-25	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	PauliKiuru	Kiuru, Pauli	M	1962	
ParlaMint-FI-en_2020-09-25-ps-119	ParlaMint-FI_2020-09-25-ps-119.u7	Minutes of the Finnish Parliament's plenary session 119/2020, 2020-09-25	2020-09-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 119	2020-09-25	-	COVID	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	KimmoKiljunen	Kiljunen, Kimmo	M	1951	
ParlaMint-FI-en_2020-09-25-ps-119	ParlaMint-FI_2020-09-25-ps-119.u8	Minutes of the Finnish Parliament's plenary session 119/2020, 2020-09-25	2020-09-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 119	2020-09-25	-	COVID	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2020-09-25-ps-119	ParlaMint-FI_2020-09-25-ps-119.u9	Minutes of the Finnish Parliament's plenary session 119/2020, 2020-09-25	2020-09-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 119	2020-09-25	-	COVID	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	KimmoKiljunen	Kiljunen, Kimmo	M	1951	
ParlaMint-FI-en_2020-09-25-ps-119	ParlaMint-FI_2020-09-25-ps-119.u10	Minutes of the Finnish Parliament's plenary session 119/2020, 2020-09-25	2020-09-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 119	2020-09-25	-	COVID	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	MariaGuzenina	Guzenina, Maria	F	1969	
ParlaMint-FI-en_2020-09-25-ps-119	ParlaMint-FI_2020-09-25-ps-119.u11	Minutes of the Finnish Parliament's plenary session 119/2020, 2020-09-25	2020-09-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 119	2020-09-25	-	COVID	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	KimmoKiljunen	Kiljunen, Kimmo	M	1951	
ParlaMint-FI-en_2020-09-25-ps-119	ParlaMint-FI_2020-09-25-ps-119.u12	Minutes of the Finnish Parliament's plenary session 119/2020, 2020-09-25	2020-09-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2020	Täysistunto 119	2020-09-25	-	COVID	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TarjaFilatov	Filatov, Tarja	F	1963	
