Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2021-10-18	ParlaMint-NO_2021-10-18.ana.ud239e25	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-18	2021-10-18	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-18	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EVH	Hansen, Eva Kristin	F	1973	
ParlaMint-NO-en_2021-10-18	ParlaMint-NO_2021-10-18.ana.ud239e289	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-18	2021-10-18	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-18	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EVH	Hansen, Eva Kristin	F	1973	
ParlaMint-NO-en_2021-10-18	ParlaMint-NO_2021-10-18.ana.ud239e404	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-18	2021-10-18	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-18	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EVH	Hansen, Eva Kristin	F	1973	
ParlaMint-NO-en_2021-10-18	ParlaMint-NO_2021-10-18.ana.ud239e407	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-18	2021-10-18	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-18	-	COVID	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.EW	Wiborg, Erlend	M	1984	
ParlaMint-NO-en_2021-10-18	ParlaMint-NO_2021-10-18.ana.ud239e412	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-18	2021-10-18	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-18	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EVH	Hansen, Eva Kristin	F	1973	
ParlaMint-NO-en_2021-10-18	ParlaMint-NO_2021-10-18.ana.ud239e428	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-18	2021-10-18	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-18	-	COVID	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JGS	Støre, Jonas Gahr	M	1960	
ParlaMint-NO-en_2021-10-18	ParlaMint-NO_2021-10-18.ana.ud239e606	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-18	2021-10-18	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-18	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EVH	Hansen, Eva Kristin	F	1973	
ParlaMint-NO-en_2021-10-18	ParlaMint-NO_2021-10-18.ana.ud239e637	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-18	2021-10-18	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-18	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EVH	Hansen, Eva Kristin	F	1973	
