Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2021-10-01	ParlaMint-NO_2021-10-01.ana.ud333e2461	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-01	2021-10-01	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-01	-	COVID	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2021-10-01	ParlaMint-NO_2021-10-01.ana.ud333e2472	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-01	2021-10-01	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-01	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2021-10-01	ParlaMint-NO_2021-10-01.ana.ud333e2506	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-01	2021-10-01	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-01	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2021-10-01	ParlaMint-NO_2021-10-01.ana.ud333e2579	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-01	2021-10-01	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-01	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2021-10-01	ParlaMint-NO_2021-10-01.ana.ud333e2586	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-01	2021-10-01	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-01	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2021-10-01	ParlaMint-NO_2021-10-01.ana.ud333e2606	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-01	2021-10-01	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-01	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
