Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2021-10-08	ParlaMint-NO_2021-10-08.ana.ud564e27	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-08	2021-10-08	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-08	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2021-10-08	ParlaMint-NO_2021-10-08.ana.ud564e72	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-08	2021-10-08	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-08	-	COVID	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SMY	Myrli, Sverre	M	1971	
ParlaMint-NO-en_2021-10-08	ParlaMint-NO_2021-10-08.ana.ud564e130	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-08	2021-10-08	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-08	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2021-10-08	ParlaMint-NO_2021-10-08.ana.ud564e138	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-08	2021-10-08	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-08	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2021-10-08	ParlaMint-NO_2021-10-08.ana.ud564e185	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-08	2021-10-08	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-08	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
