Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2021-11-23	ParlaMint-NO_2021-11-23.ana.ud69e42	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-23	2021-11-23	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-23	ParlaMint-NO_2021-11-23.ana.ud69e65	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-23	2021-11-23	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-23	ParlaMint-NO_2021-11-23.ana.ud69e138	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-23	2021-11-23	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-23	ParlaMint-NO_2021-11-23.ana.ud69e145	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-23	2021-11-23	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-23	ParlaMint-NO_2021-11-23.ana.ud69e159	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-23	2021-11-23	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-23	ParlaMint-NO_2021-11-23.ana.ud69e164	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-23	2021-11-23	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-23	-	COVID	English	Regular	MP	notMinister	R	Rødt	-	Left to far-left	person.SEA	Aydar, Seher	F	1989	
ParlaMint-NO-en_2021-11-23	ParlaMint-NO_2021-11-23.ana.ud69e169	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-23	2021-11-23	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-23	ParlaMint-NO_2021-11-23.ana.ud69e213	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-23	2021-11-23	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-23	ParlaMint-NO_2021-11-23.ana.ud69e225	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-23	2021-11-23	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-23	ParlaMint-NO_2021-11-23.ana.ud69e267	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-23	2021-11-23	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-23	ParlaMint-NO_2021-11-23.ana.ud69e281	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-23	2021-11-23	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-23	-	COVID	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.ANNH	Huitfeldt, Anniken	F	1969	
ParlaMint-NO-en_2021-11-23	ParlaMint-NO_2021-11-23.ana.ud69e424	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-23	2021-11-23	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
