Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e30	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MASG	Gharahkhani, Masud	M	1982	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e85	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MASG	Gharahkhani, Masud	M	1982	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e96	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MASG	Gharahkhani, Masud	M	1982	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e101	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.FES	Sve, Frank Edvard	M	1968	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e108	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MASG	Gharahkhani, Masud	M	1982	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e126	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MASG	Gharahkhani, Masud	M	1982	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e131	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e136	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MASG	Gharahkhani, Masud	M	1982	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e269	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MASG	Gharahkhani, Masud	M	1982	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e283	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JGS	Støre, Jonas Gahr	M	1960	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e437	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MASG	Gharahkhani, Masud	M	1982	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e442	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.RIAJ	Aasrud, Rigmor	F	1960	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e461	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e478	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.MAA	Arnstad, Marit	F	1962	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e495	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SYL	Listhaug, Sylvi	F	1977	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e510	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.ALYS	Lysbakken, Audun	M	1977	
ParlaMint-NO-en_2021-11-30	ParlaMint-NO_2021-11-30.ana.ud532e527	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-30	2021-11-30	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-30	-	COVID	English	Regular	MP	notMinister	R	Rødt	-	Left to far-left	person.BJMO	Moxnes, Bjørnar	M	1981	
