Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2021-11-16	ParlaMint-NO_2021-11-16.ana.ud163e24	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-16	2021-11-16	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-16	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-16	ParlaMint-NO_2021-11-16.ana.ud163e60	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-16	2021-11-16	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-16	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-16	ParlaMint-NO_2021-11-16.ana.ud163e106	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-16	2021-11-16	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-16	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-16	ParlaMint-NO_2021-11-16.ana.ud163e117	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-16	2021-11-16	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-16	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-16	ParlaMint-NO_2021-11-16.ana.ud163e122	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-16	2021-11-16	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-16	-	COVID	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OVB	Bollestad, Olaug Vervik	F	1961	
ParlaMint-NO-en_2021-11-16	ParlaMint-NO_2021-11-16.ana.ud163e128	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-16	2021-11-16	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-16	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-16	ParlaMint-NO_2021-11-16.ana.ud163e133	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-16	2021-11-16	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-16	-	COVID	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.TUK	Kristensen, Turid	F	1966	
ParlaMint-NO-en_2021-11-16	ParlaMint-NO_2021-11-16.ana.ud163e138	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-16	2021-11-16	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-16	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
ParlaMint-NO-en_2021-11-16	ParlaMint-NO_2021-11-16.ana.ud163e337	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-11-16	2021-11-16	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-11-16	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHAR	Harberg, Svein	M	1958	
