Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2021-10-26	ParlaMint-NO_2021-10-26.ana.ud280e25	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-26	2021-10-26	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-26	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EVH	Hansen, Eva Kristin	F	1973	
ParlaMint-NO-en_2021-10-26	ParlaMint-NO_2021-10-26.ana.ud280e90	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-26	2021-10-26	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-26	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EVH	Hansen, Eva Kristin	F	1973	
ParlaMint-NO-en_2021-10-26	ParlaMint-NO_2021-10-26.ana.ud280e118	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-26	2021-10-26	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-26	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EVH	Hansen, Eva Kristin	F	1973	
ParlaMint-NO-en_2021-10-26	ParlaMint-NO_2021-10-26.ana.ud280e145	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-26	2021-10-26	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-26	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EVH	Hansen, Eva Kristin	F	1973	
ParlaMint-NO-en_2021-10-26	ParlaMint-NO_2021-10-26.ana.ud280e174	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-26	2021-10-26	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-26	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EVH	Hansen, Eva Kristin	F	1973	
ParlaMint-NO-en_2021-10-26	ParlaMint-NO_2021-10-26.ana.ud280e212	Hansard from meeting in the Norwegian Parliament, term 2021-2025, Session 2021-2022, Sitting day 2021-10-26	2021-10-26	Unicameralism	Term 2021-2025	Session 2021-2022	-	Sitting day 2021-10-26	-	COVID	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EVH	Hansen, Eva Kristin	F	1973	
