Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u1	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	LineikSaevarsdottir	Sævarsdóttir, Líneik Anna	F	1964	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u2	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	LineikSaevarsdottir	Sævarsdóttir, Líneik Anna	F	1964	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u3	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	THorunnSveinbjarnardottir	Sveinbjarnardóttir, Þórunn	F	1965	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u4	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	LineikSaevarsdottir	Sævarsdóttir, Líneik Anna	F	1964	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u5	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	LineikSaevarsdottir	Sævarsdóttir, Líneik Anna	F	1964	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u6	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u7	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	HelgaHelgadottir	Helgadóttir, Helga Vala	F	1972	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u8	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	Minister	-	-	-	-	THordisGylfadottir	Gylfadóttir, Þórdís Kolbrún R.	F	1987	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u9	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	GudmundurKristinsson	Kristinsson, Guðmundur Ingi	M	1955	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u10	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	IngibjorgIsaksen	Isaksen, Ingibjörg Ólöf	F	1977	
