Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2011-07-08-tbmm-T24	tbmm-2011-07-08sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 6	2011-07-08	Unicameralism	24	1	6	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2011-07-08-tbmm-T24	tbmm-2011-07-08sit01spe0002par0016	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 6	2011-07-08	Unicameralism	24	1	6	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	RecepTayyip.Erdoğan	Erdoğan, Recep Tayyip	M	1954	
ParlaMint-TR-en_2011-07-08-tbmm-T24	tbmm-2011-07-08sit01spe0003par0391	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 6	2011-07-08	Unicameralism	24	1	6	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
