Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0002par0008	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Muharrem.İnce	İnce, Muharrem	M	1964	
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0001par0009	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0003par0081	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kamer.Genç	Genç, Kamer	M	1940	
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0001par0082	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0003par0083	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kamer.Genç	Genç, Kamer	M	1940	
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0001par0084	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0003par0085	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kamer.Genç	Genç, Kamer	M	1940	
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0001par0086	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0004par0087	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Bülent.Arınç	Arınç, Bülent	M	1948	
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0001par0088	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0005par0091	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kamer.Genç	Genç, Kamer	M	1940	
ParlaMint-TR-en_2011-07-06-tbmm-T24	tbmm-2011-07-06sit01spe0001par0092	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 4	2011-07-06	Unicameralism	24	1	4	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
