Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2011-07-13-tbmm-T24	tbmm-2011-07-13sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 9	2011-07-13	Unicameralism	24	1	9	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2011-07-13-tbmm-T24	tbmm-2011-07-13sit01spe0002par0009	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 9	2011-07-13	Unicameralism	24	1	9	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	MehmetAkif.Hamzaçebi	Hamzaçebi, Mehmet Akif	M	1953	
ParlaMint-TR-en_2011-07-13-tbmm-T24	tbmm-2011-07-13sit01spe0001par0010	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 9	2011-07-13	Unicameralism	24	1	9	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2011-07-13-tbmm-T24	tbmm-2011-07-13sit02spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 9	2011-07-13	Unicameralism	24	1	9	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2011-07-13-tbmm-T24	tbmm-2011-07-13sit02spe0003par0014	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 9	2011-07-13	Unicameralism	24	1	9	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	RecepTayyip.Erdoğan	Erdoğan, Recep Tayyip	M	1954	
ParlaMint-TR-en_2011-07-13-tbmm-T24	tbmm-2011-07-13sit02spe0004par0019	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 9	2011-07-13	Unicameralism	24	1	9	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2011-07-13-tbmm-T24	tbmm-2011-07-13sit02spe0005par0024	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 9	2011-07-13	Unicameralism	24	1	9	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Faik.Tunay	Tunay, Faik	M	1981	
ParlaMint-TR-en_2011-07-13-tbmm-T24	tbmm-2011-07-13sit02spe0006par0029	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 9	2011-07-13	Unicameralism	24	1	9	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
