Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2011-12-02-tbmm-T24	tbmm-2011-12-02sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 2, Session 28	2011-12-02	Unicameralism	24	2	28	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2011-12-02-tbmm-T24	tbmm-2011-12-02sit01spe0002par0003	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 2, Session 28	2011-12-02	Unicameralism	24	2	28	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kamer.Genç	Genç, Kamer	M	1940	
ParlaMint-TR-en_2011-12-02-tbmm-T24	tbmm-2011-12-02sit01spe0001par0004	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 2, Session 28	2011-12-02	Unicameralism	24	2	28	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
